timestamp,content,comments,retweets,likes,analytics,tags,tweet_link,tweet_id,Sentimiento
2024-02-02T00:57:05.000Z,"Slowly learning and applying the Pomodoro Technique and obviously, I'm enjoying the Notion app. This template is also a gem! Still working on customizing it to my needs. #notionapp #buhayfreelancer #workfromhomemom",1,0,1,153,"['#notionapp', '#buhayfreelancer', '#workfromhomemom']",https://x.com/iampomski/status/1753220963288993896,tweet_id:1753220963288993896,positivo
2023-09-24T12:58:08.000Z,Using Notion to Zoom In and Out  #notion #notiontips #notionapp #notiontutorial,1,0,1,416,"['#notion', '#notiontips', '#notionapp', '#notiontutorial']",https://x.com/cartersurach/status/1705929608988668230,tweet_id:1705929608988668230,neutral
2023-02-02T17:22:05.000Z,"Check out the Notion Life Tracker
Template updated for 2023. Full walkthrough tutorial on my YouTube channel and the link to the template in link in bio#notionapp #notiontemplate #notiontour #notionpartner #notionsetup #notiontwt #Notion",0,0,2,455,"['#notionapp', '#notiontemplate', '#notiontour', '#notionpartner', '#notionsetup', '#notiontwt', '#Notion']",https://x.com/jennaredfield/status/1621197275807588355,tweet_id:1621197275807588355,positivo
2024-02-26T10:15:48.000Z," GIVEAWAY  Notion Freelance OS Notion Freelance OS is an all-in-one toolkit you need to manage your projects, clients, or finances. Like & Comment #notion #notiontemplate #freelance #freelancer #freelancing ",2,0,4,406,"['#notion', '#notiontemplate', '#freelance', '#freelancer', '#freelancing', '', '', '', '']",https://x.com/heyismail_co/status/1762058877695139970,tweet_id:1762058877695139970,neutral
2023-06-23T05:33:50.000Z,"Here’s how to change the way you open pages in Notion 

Personally The side peek is my favorite #notiontutorial  #notiontips #fypシ #notionapp #notion",0,3,29,3.1K,"['#notiontutorial', '#notiontips', '#fypシ', '#notionapp', '#notion']",https://x.com/NotionEngineerK/status/1672115728994926592,tweet_id:1672115728994926592,positivo
2024-02-07T09:31:00.000Z,"Notion Second Brain  1.O Now For Free  It's FREE  

1. Like 
2. Comment ""SecondBrain""
3. Follow me #ConSantanderConecto #secondbrain #foryou #explore #free #notion #notionapp #notiontemplate",1,2,5,633,"['#ConSantanderConecto', '#secondbrain', '#foryou', '#explore', '#free', '#notion', '#notionapp', '#notiontemplate']",https://x.com/heyismail_co/status/1755162234995589244,tweet_id:1755162234995589244,positivo
2023-05-19T13:52:46.000Z, From messy scribbles to structured success! #Notion #notiontemplate #notionapp #productivity #writing #notionapp,1,2,10,741,"['#Notion', '#notiontemplate', '#notionapp', '#productivity', '#writing', '#notionapp']",https://x.com/NotionEngineerK/status/1659557714316386305,tweet_id:1659557714316386305,positivo
2023-09-16T14:04:25.000Z,The Truth About Over-Engineering Your Notion Setup: Why Less is More  #notion #notiontips #notionapp #notiontutorial,1,0,3,521,"['#notion', '#notiontips', '#notionapp', '#notiontutorial']",https://x.com/cartersurach/status/1703047188559888753,tweet_id:1703047188559888753,positivo
2023-12-12T11:02:04.000Z," Ultimate Brain Giveaway"" Grab your copy of Notion Ultimate Brain, Worth $49!

It's FREE for the next 24 hours!#notiontemplates #notion #notionapp #secondbrain #templateforbusiness #templates #notiontemplate #para #gtd",0,0,0,213,"['#notiontemplates', '#notion', '#notionapp', '#secondbrain', '#templateforbusiness', '#templates', '#notiontemplate', '#para', '#gtd']",https://x.com/heyismail_co/status/1734529044664697130,tweet_id:1734529044664697130,positivo
2024-01-17T17:16:50.000Z,Guess what?  has officially launched their Calendar App (available for Mobile//Desktop) I got to try it out and filmed my experience and what I use it for here! https://youtu.be/GbkbW0WOnek #notion #notiontwt #notioncalendar #notionapp #notiontemplate,0,0,1,256,"['#notion', '#notiontwt', '#notioncalendar', '#notionapp', '#notiontemplate']",https://x.com/jennaredfield/status/1747669320472182855,tweet_id:1747669320472182855,positivo
