timestamp,content,comments,retweets,likes,analytics,tags,tweet_link,tweet_id,Sentimiento
2024-06-19T08:50:24.000Z,JENNIE at the  'HIT ME HARD AND SOFT' Experience in Seoul with  #JENNIE #BillieEilish #spotify #OA,390,11K,33K,909K,"['#JENNIE', '#BillieEilish', '#spotify', '#OA']",https://x.com/oddatelier/status/1803349603510788452,tweet_id:1803349603510788452,negativo
2021-09-16T09:23:37.000Z,Thank you  https://open.spotify.com/album/66OYt73mqan1hWa78BhfPd?si=liiTcKCFT8m499Kcc0bg_Q&dl_branch=1…#LISA #리사 #LALISA #라리사 #BLACKPINK #블랙핑크 #Spotify #스포티파이,884,16K,75K,0,"['#LISA', '#리사', '#LALISA', '#라리사', '#BLACKPINK', '#블랙핑크', '#Spotify', '#스포티파이']",https://x.com/BLACKPINK/status/1438433379590946820,tweet_id:1438433379590946820,neutral
2024-11-29T06:16:02.000Z,LET ME IN #SpotifyWrapped#Spotify #SpotifyWrapped2024,0,22,220,42K,"['#SpotifyWrapped', '#Spotify', '#SpotifyWrapped2024']",https://x.com/K13News/status/1862379976063860774,tweet_id:1862379976063860774,neutral
2024-12-04T19:24:35.000Z,:Mənim #Spotify 2024 #Wrapped top'5 songs.,0,0,4,280,"['#Spotify', '#Wrapped']",https://x.com/_kamaljabbar_/status/1864390360996147461,tweet_id:1864390360996147461,positivo
2019-12-12T06:50:28.000Z,Thanks #Spotify and #ARMY for an amazing 2019  #SpotifyWrapped,8.7K,120K,390K,0,"['#Spotify', '#ARMY', '#SpotifyWrapped']",https://x.com/bts_bighit/status/1205017054228561920,tweet_id:1205017054228561920,positivo
2024-11-28T17:34:18.000Z,"Most streamed songs from 's ""I Am... Sasha Fierce"" this year so far on #Spotify:

1. Halo — 206.3M
2. Single Ladies — 100.2M*
3. If I Were a Boy — 68.5M
4. Diva — 54M*
5. Sweet Dreams — 46.5M

*biggest year ever",5,41,472,8.1K,['#Spotify'],https://x.com/Beyonce_data/status/1862188281057710386,tweet_id:1862188281057710386,positivo
2024-12-07T13:22:25.000Z,"#Spotify Daily Top Songs Global (Dec 6, 2024)#ROSÉ #Jimin #V #Jin #JENNIE #JungKook #TWICE #LISADo not re-upload, copy, or edit",235,1K,1.8K,140K,"['#Spotify', '#ROSÉ', '#Jimin', '#V', '#Jin', '#JENNIE', '#JungKook', '#TWICE', '#LISA']",https://x.com/ChartsKRbot/status/1865386384703250740,tweet_id:1865386384703250740,positivo
2024-12-04T16:44:40.000Z,My Top 10 #Spotify,3,2,9,416,['#Spotify'],https://x.com/AleexAcademy/status/1864350115076489594,tweet_id:1864350115076489594,positivo
2024-12-07T10:40:00.000Z,"SpotifyWrapped #Spotifyまとめ今年もたくさんの方に応援していただきありがとうございました！ 

また来年もたくさんの人に聴いていただくことを楽しみにしております！ 

 RYUHEIListen on #Spotify",64,2.4K,8.3K,120K,"['#Spotifyまとめ', '#Spotify', '', '', '']",https://x.com/BEFIRSTofficial/status/1865345508979695813,tweet_id:1865345508979695813,neutral
2024-12-04T15:19:06.000Z,"⋱#Spotifyまとめ 𝟐𝟎𝟐𝟒公開⋰ 
￣￣￣￣￣￣￣￣￣￣￣￣￣￣￣￣￣
あなたが今年最も再生した
アーティスト・楽曲・ポッドキャストは？
今すぐここからチェック！
▶︎https://spotify.com/jp/wrapped/ 

結果はリプ欄で教えて2024年をSpotifyで一緒に振り返ろう",319,1.2K,2.9K,251K,"['#Spotifyまとめ', '']",https://x.com/SpotifyJP/status/1864328585257079154,tweet_id:1864328585257079154,neutral
2024-12-06T14:34:11.000Z,มีเด็กอยากตี้ต่อไม่ยอมกลับบ้านค่าาา ขอบคุณ  ที่ให้โอกาสน้องเนยมาตี้ด้วยคนนะคะ มัมหมี พ่อหมี พส ได้ดูน้องเนยกันไหมคะ ให้คะแนนชุดน้องกี่คะแนน ตอนแรกทีมงานมีเสื้อจะให้ใส่ปิดพุง แต่น้องไม่ยอมใส่บอกว่าอยากเปรี้ยวค่ะ ก็ต้องยอมชี #spotify,57,2.9K,2.8K,81K,['#spotify'],https://x.com/butterbear_th/status/1865042055975911831,tweet_id:1865042055975911831,neutral
2024-12-06T06:19:41.000Z,#Spotify  #SpotifyWrapped2024       Herhaldeeee ,0,0,0,78,"['#Spotify', '#SpotifyWrapped2024']",https://x.com/Hocao78414Sibel/status/1864917612372660307,tweet_id:1864917612372660307,neutral
2024-12-01T13:39:28.000Z,Merhaba arkadaslar abim yurtdışından 14 pro getirdiği için eski telefonum olan iPhone 11 telefonu bu tweti beğenip beni takip eden bir kişiye hediye edeceğim bol şans..  #SpotifyWrapped #Spotify #SpotifyWrapped2024,0,8,313,90K,"['#SpotifyWrapped', '#Spotify', '#SpotifyWrapped2024']",https://x.com/sikimdeemiacaba/status/1863216347393511842,tweet_id:1863216347393511842,neutral
2024-12-04T14:13:44.000Z,"今年のSpotifyだ〜！！
ほんとに楽しかった〜！！音楽大好きだ！
 #Spotify",3,0,13,2K,['#Spotify'],https://x.com/c_y_l_i/status/1864312134945177922,tweet_id:1864312134945177922,neutral
2024-12-05T00:00:02.000Z,"/／ #Spotifyまとめ 2024
世界＆日本ランキングを発表\＼

世界で最も再生されたアーティストは
2年連続でテイラー・スウィフト！
国内もMrs. GREEN APPLEが2年連続1位に国内で最も再生された楽曲は
Creepy Nutsの ""Bling-Bang-Bang-Born"" ",85,2.8K,12K,825K,"['#Spotifyまとめ', '']",https://x.com/SpotifyJP/status/1864459681168806207,tweet_id:1864459681168806207,negativo
2024-12-07T00:34:43.000Z,".'s ""Houdini"" has now surpassed 500 million streams on #Spotify.",11,102,1.1K,13K,['#Spotify'],https://x.com/SpotifyUpToDate/status/1865193183358886020,tweet_id:1865193183358886020,neutral
2024-12-07T13:13:58.000Z,"#Spotify Daily Top Songs USA (Dec 6, 2024)#ROSÉ #Jimin #JENNIE #TWICEDo not re-upload, copy, or edit",101,898,2.2K,94K,"['#Spotify', '#ROSÉ', '#Jimin', '#JENNIE', '#TWICE']",https://x.com/ChartsKRbot/status/1865384255049613397,tweet_id:1865384255049613397,positivo
2024-12-04T13:17:16.000Z,Wrapped Spotify 2024 #Wrapped #Spotify,0,0,7,2.1K,"['#Wrapped', '#Spotify']",https://x.com/rihanna__indo/status/1864297923175174619,tweet_id:1864297923175174619,neutral
2024-12-07T13:52:14.000Z,#Spotify bu yıl en çok dinlediğim şarkıyı seçmişe normal #ÖzcanDenizŞimdi burda olsan onu da affederim,0,1,17,68,"['#Spotify', '#ÖzcanDeniz']",https://x.com/vrsn_hilal/status/1865393888212508839,tweet_id:1865393888212508839,positivo
2024-12-05T12:53:22.000Z,"Spotifyまとめ2024
国内で最も再生されたアーティスト

ヨルシカは5位でした。
今年もたくさんの方に聴いていただきありがとうございました！#Spotify",120,3.3K,23K,536K,['#Spotify'],https://x.com/nbuna_staff/status/1864654294508818717,tweet_id:1864654294508818717,neutral
2024-12-06T15:41:43.000Z,"#Spotify Monthly Listeners (Dec 6, 2024)

template courtesy of Do not re-upload, copy, or edit",55,529,1.2K,43K,['#Spotify'],https://x.com/chartBTS/status/1865059051987435786,tweet_id:1865059051987435786,neutral
2024-12-04T15:38:26.000Z,"My Spotify wrapped 

Quote with yours !!!#Spotify  #2024 #Rae #Rae325",4,9,12,1.4K,"['#Spotify', '#Rae', '#Rae325']",https://x.com/OlaRae01/status/1864333449428893990,tweet_id:1864333449428893990,neutral
2024-12-06T09:00:50.000Z,"Which of these two do you prefer? Let us know in the comment below  

Make 20+ payments before this week ends & be part of this week’s winners! #Platnova #ThisOrThat #Platnova20DaysOfGiving #20DaysOfGiving #TGIF #ChristmasGiveaway #Spotify",7,4,12,236,"['#Platnova', '#ThisOrThat', '#Platnova20DaysOfGiving', '#20DaysOfGiving', '#TGIF', '#ChristmasGiveaway', '#Spotify']",https://x.com/getplatnova/status/1864958165445464145,tweet_id:1864958165445464145,neutral
2024-12-03T02:24:40.000Z,"𝗜 𝗻𝗲𝗲𝗱 𝗻𝗲𝘄 𝗺𝘂𝘀𝗶𝗰 !  

𝗪𝗵𝗮𝘁 𝘁𝗼 𝗱𝗼 ?
---------------
1. Drop your music links !
2. Retweet this tweet
3. Like this tweet#spotify",18,2,11,1.3K,['#spotify'],https://x.com/mzpromoz/status/1863771301640282144,tweet_id:1863771301640282144,neutral
2024-12-06T16:06:05.000Z,".'s ""Countdown"" has now surpassed 200 MILLION streams on #Spotify.

— It's her 31st song to surpass the mark (overall).",7,44,622,7.8K,['#Spotify'],https://x.com/Beyonce_data/status/1865065183229481260,tweet_id:1865065183229481260,neutral
2024-11-29T04:12:57.000Z,I need Some new music #music #spotify,62,4,34,2.2K,"['#music', '#spotify']",https://x.com/EmmaaDeaton/status/1862349003750613157,tweet_id:1862349003750613157,positivo
2024-12-04T15:31:15.000Z,"今年10万!?笑笑
1位はそりゃKing Gnuだよね
ねっこなのも納得…だけど配信されてまだ1ヶ月半くらいしか経ってないよね？？
聴きすぎじゃない？笑#KingGnu#Spotify #Spotifyまとめ",1,1,82,24K,"['#KingGnu', '#Spotify', '#Spotifyまとめ']",https://x.com/OgQmn/status/1864331640929124822,tweet_id:1864331640929124822,neutral
2024-12-04T18:43:01.000Z,This barber giving makeovers for women.#Spotify #Pete #BrianThompson #AppleMusic #CUTOSHI $SAMO #unitedhealthcare #HappyBirthdayDan #ACLU #DeSantis #Manhattan #JaredIsaacman #SupremeCourt #Offord,23,28,133,27K,"['#Spotify', '#Pete', '#BrianThompson', '#AppleMusic', '#CUTOSHI', '#unitedhealthcare', '#HappyBirthdayDan', '#ACLU', '#DeSantis', '#Manhattan', '#JaredIsaacman', '#SupremeCourt', '#Offord']",https://x.com/red_madisonnn/status/1864379899479298058,tweet_id:1864379899479298058,neutral
2024-12-07T12:11:41.000Z,drop a to one of your best songs (or send it via the submission form on my site) and i'll have a listen tomorrow#Spotify #playlisting,0,2,6,94,"['#Spotify', '#playlisting']",https://x.com/tonydufficy/status/1865368581288186097,tweet_id:1865368581288186097,positivo
2024-12-05T22:38:19.000Z,My number 1 song and top 5.  STFU cured my depression #SpotifyWrapped2024 #Spotify,6,0,15,2.6K,"['#SpotifyWrapped2024', '#Spotify']",https://x.com/madiguz7/status/1864801502763622625,tweet_id:1864801502763622625,positivo
2024-12-07T10:53:12.000Z,"Just join nd submit your solana addressto receive free sol 

 http://memojisol.xyz/?ref=48337166#Davidofunds  #Spotify",1,4,6,237,"['#Davidofunds', '#Spotify']",https://x.com/Nai01Ra/status/1865348831417684417,tweet_id:1865348831417684417,positivo
2024-12-06T05:51:00.000Z,We need new music ! Want on a playlist?  #spotify #soundcloud #Youtube ,8,0,3,231,"['#spotify', '#soundcloud', '#Youtube']",https://x.com/TrendCityShow/status/1864910391177851314,tweet_id:1864910391177851314,positivo
2024-12-06T21:02:00.000Z,I need new music ! Drop your music links  #indiemusic #spotify #YouTube,29,1,13,963,"['#indiemusic', '#spotify', '#YouTube']",https://x.com/itsDjAnt/status/1865139654665584989,tweet_id:1865139654665584989,positivo
2024-12-04T15:30:53.000Z,According to #Spotify I'm one of those BOTS that Drake is complaining about ,2,2,9,619,['#Spotify'],https://x.com/AllHHSessions/status/1864331548738142453,tweet_id:1864331548738142453,neutral
2024-11-30T02:36:26.000Z,En un año este meme se me hará canon #SpotifyWrapped #Spotify,0,87,727,12K,"['#SpotifyWrapped', '#Spotify']",https://x.com/MrDanoss/status/1862687100790804872,tweet_id:1862687100790804872,neutral
