ID del Video,URL,Comentario,Fecha de Publicación,Likes del Comentario,Sentimiento
BewkhuqUZXg,https://www.youtube.com/watch?v=BewkhuqUZXg,How are this terrible??🤔🤔,2024-12-04T21:58:54Z,0,Neutral
BewkhuqUZXg,https://www.youtube.com/watch?v=BewkhuqUZXg,I want 9th one,2024-12-04T20:19:38Z,0,Positivo
BewkhuqUZXg,https://www.youtube.com/watch?v=BewkhuqUZXg,i think its usefull,2024-12-04T08:52:44Z,0,Neutral
BewkhuqUZXg,https://www.youtube.com/watch?v=BewkhuqUZXg,What’s going on with the peanut butter jar in the garbage can,2024-12-04T06:12:00Z,0,Neutral
BewkhuqUZXg,https://www.youtube.com/watch?v=BewkhuqUZXg,I have the couch and it’s actually really good and comfortable,2024-12-04T06:03:32Z,0,Positivo
BewkhuqUZXg,https://www.youtube.com/watch?v=BewkhuqUZXg,These are not terrible,2024-12-04T03:38:27Z,0,Positivo
BewkhuqUZXg,https://www.youtube.com/watch?v=BewkhuqUZXg,"Mynfamily has the inflatable sofa. it IS impossible to fill while running wround, but we use a pump charged from the car (Or something, I can&#39;t exactly remember), and it inflates great. also, the cord holders sound great.",2024-12-04T03:24:08Z,0,Positivo
BewkhuqUZXg,https://www.youtube.com/watch?v=BewkhuqUZXg,I literally have all of these things,2024-12-04T01:51:52Z,0,Neutral
BewkhuqUZXg,https://www.youtube.com/watch?v=BewkhuqUZXg,All of these products are amazing and he’s just an idiot and I hate him,2024-12-04T01:51:35Z,0,Negativo
BewkhuqUZXg,https://www.youtube.com/watch?v=BewkhuqUZXg,HOW R THESE TERRIBLE 😭😭😭😭,2024-12-04T00:33:37Z,0,Negativo
BewkhuqUZXg,https://www.youtube.com/watch?v=BewkhuqUZXg,"Bro, terrible?",2024-12-04T00:24:19Z,0,Negativo
BewkhuqUZXg,https://www.youtube.com/watch?v=BewkhuqUZXg,The car mirror extensor is good though,2024-12-03T23:16:41Z,1,Positivo
BewkhuqUZXg,https://www.youtube.com/watch?v=BewkhuqUZXg,Steel soap really,2024-12-03T22:24:58Z,0,Neutral
BewkhuqUZXg,https://www.youtube.com/watch?v=BewkhuqUZXg,These aren&#39;t terrible?,2024-12-03T20:07:22Z,0,Negativo
BewkhuqUZXg,https://www.youtube.com/watch?v=BewkhuqUZXg,Nice try diddy,2024-12-03T16:18:32Z,0,Positivo
BewkhuqUZXg,https://www.youtube.com/watch?v=BewkhuqUZXg,These look good not terrible,2024-12-03T16:13:30Z,0,Positivo
BewkhuqUZXg,https://www.youtube.com/watch?v=BewkhuqUZXg,They ain&#39;t terrible I want em  💀  😭,2024-12-03T15:23:40Z,0,Negativo
BewkhuqUZXg,https://www.youtube.com/watch?v=BewkhuqUZXg,🤮🤮🤮,2024-12-03T14:16:30Z,0,Neutral
BewkhuqUZXg,https://www.youtube.com/watch?v=BewkhuqUZXg,bro they are t terrible,2024-12-03T13:55:23Z,0,Negativo
BewkhuqUZXg,https://www.youtube.com/watch?v=BewkhuqUZXg,6th one💀💀,2024-12-03T13:37:35Z,1,Neutral
Bvh9f0QDI2g,https://www.youtube.com/watch?v=Bvh9f0QDI2g,No one needs these,2024-12-03T22:49:40Z,0,Negativo
Bvh9f0QDI2g,https://www.youtube.com/watch?v=Bvh9f0QDI2g,Mai to kuch aur hi soacha...😂,2024-12-03T15:58:21Z,0,Neutral
Bvh9f0QDI2g,https://www.youtube.com/watch?v=Bvh9f0QDI2g,Pillow for legs is a real need 😭,2024-12-03T14:02:17Z,1,Neutral
