ID del Video,URL,Comentario,Fecha de Publicación,Likes del Comentario,Sentimiento
uc1w2O4tG3Y,https://www.youtube.com/watch?v=uc1w2O4tG3Y,"Evernote wants to be the best productivity &amp; note-taking app once again. Get Evernote: <a href=""https://toolfinder.co/go/evernote"">https://toolfinder.co/go/evernote</a>",2024-05-03T10:39:31Z,5,Positivo
uc1w2O4tG3Y,https://www.youtube.com/watch?v=uc1w2O4tG3Y,Just switched to Apple Note and I’m sorry I hadn’t done that sooner. Evernote lost the plot with the acquisition becoming overblown and stupidly expensive. It was really easy to switch—lots of good videos on doing it.,2024-11-29T02:09:26Z,0,Positivo
uc1w2O4tG3Y,https://www.youtube.com/watch?v=uc1w2O4tG3Y,MONTHLY PRICING. THEY CAN STICK THAT CRAP.,2024-11-15T09:44:20Z,0,Negativo
uc1w2O4tG3Y,https://www.youtube.com/watch?v=uc1w2O4tG3Y,"I just discovered mine from 2017 and still works, I guess I won&#39;t upgrade",2024-10-20T05:37:56Z,0,Neutral
uc1w2O4tG3Y,https://www.youtube.com/watch?v=uc1w2O4tG3Y,"A magnificent application in the beginning you ended up ruining it by adding so many completely useless accessories that a true professional never uses.  <br><br>The app should have followed the simple but incredibly powerful principles of the Getting Things Done GTD methodology, but you&#39;ve managed to complicate it in such a downright tragic way that it now looks more like a Christmas tree.  <br><br>Of course, you needlessly complicated it so much just to be able to ask for double the subscription.  <br><br>And by the way, STOP DELETING NEGATIVE FEEDBACK!",2024-09-05T00:22:49Z,0,Negativo
uc1w2O4tG3Y,https://www.youtube.com/watch?v=uc1w2O4tG3Y,"The free version now allows you to sync only one device, i.e. the free plan is useless",2024-09-01T22:14:58Z,0,Positivo
uc1w2O4tG3Y,https://www.youtube.com/watch?v=uc1w2O4tG3Y,Klocuch,2024-08-26T20:53:47Z,0,Neutral
uc1w2O4tG3Y,https://www.youtube.com/watch?v=uc1w2O4tG3Y,Still cant add videos to notes like Apple notes? Its a no,2024-08-22T22:30:31Z,0,Positivo
uc1w2O4tG3Y,https://www.youtube.com/watch?v=uc1w2O4tG3Y,"There are so many ads in the video, and so often...",2024-08-17T05:00:14Z,0,Neutral
uc1w2O4tG3Y,https://www.youtube.com/watch?v=uc1w2O4tG3Y,Why not like Procreate? Just pay one time 10 dollars and that&#39;s it. The price is still absurd.,2024-08-09T00:33:25Z,1,Negativo
5dluK_sl3o4,https://www.youtube.com/watch?v=5dluK_sl3o4,"I love the mobile app. It is how I put all of my notes into Evernote. I&#39;ve been using a Bluetooth keyboard with my phone since 2007. Since using Evernote, I started in 2010. I loke the font size is fine. I wish it could go smaller so I could see more on the screen. I am 62 now but still have good eye sight and have never needed glasses. I only use my desktop app to search my notes. I don&#39;t usually search on my phone as I&#39;m busy inputing data there. I don&#39;t want to hop out of the screen I&#39;m typing in. I love the search as I can llook through all my notes and find what I want. I only wish the search would work like it used to. I could search for something, and it would highlight in the notes that popped-up. Now it does not do that. I have to re-enter the search term in each note. That has ruined that functionality. Come on Bending Spoons fix that crap or at least make it a selectable option. SMH",2024-11-28T00:59:52Z,1,Positivo
