ID del Video,URL,Comentario,Fecha de Publicación,Likes del Comentario,Sentimiento
H12_OEy139g,https://www.youtube.com/watch?v=H12_OEy139g,"Hii friends! 👋🏻 I hope you found this video helpful for learning the basics of Goodnotes 6. There was a lot to cover so I focused on the features &amp; tools that would give you the gist of the app (study sets + interactive math tests are not covered). Please turn on the Subtitles (English) if you want to follow along and please feel free to use the Timestamps/Chapters to jump to specific sections ♥<br><br>Timestamps/Chapters:<br><a href=""https://www.youtube.com/watch?v=H12_OEy139g"">00:00</a> - Intro<br><a href=""https://www.youtube.com/watch?v=H12_OEy139g&amp;t=21"">00:21</a> - Creating an account<br><a href=""https://www.youtube.com/watch?v=H12_OEy139g&amp;t=47"">00:47</a> - Main library navigation<br><a href=""https://www.youtube.com/watch?v=H12_OEy139g&amp;t=103"">01:43</a> - What you can import<br><a href=""https://www.youtube.com/watch?v=H12_OEy139g&amp;t=127"">02:07</a> - How to create folders<br><a href=""https://www.youtube.com/watch?v=H12_OEy139g&amp;t=140"">02:20</a> - Turning on Scribble<br><a href=""https://www.youtube.com/watch?v=H12_OEy139g&amp;t=161"">02:41</a> - How to create a notebook, template/cover options<br><a href=""https://www.youtube.com/watch?v=H12_OEy139g&amp;t=225"">03:45</a> - Adding new pages<br><a href=""https://www.youtube.com/watch?v=H12_OEy139g&amp;t=243"">04:03</a> - Double-tap to fill screen<br><a href=""https://www.youtube.com/watch?v=H12_OEy139g&amp;t=247"">04:07</a> - Changing the template after notebook has been created<br><a href=""https://www.youtube.com/watch?v=H12_OEy139g&amp;t=280"">04:40</a> - Horizontal and vertical scrolling<br><a href=""https://www.youtube.com/watch?v=H12_OEy139g&amp;t=294"">04:54</a> - Stylus &amp; palm rejection<br><a href=""https://www.youtube.com/watch?v=H12_OEy139g&amp;t=318"">05:18</a> - What&#39;s in the toolbar? (Read Only, Keyboard, Audio Recording)<br><a href=""https://www.youtube.com/watch?v=H12_OEy139g&amp;t=423"">07:03</a> - All the notetaking tools! (Pen, Highlighter, Eraser, etc.)<br><a href=""https://www.youtube.com/watch?v=H12_OEy139g&amp;t=442"">07:22</a> - Pen tool (how to use, types, presets, etc.)<br><a href=""https://www.youtube.com/watch?v=H12_OEy139g&amp;t=544"">09:04</a> - Pen gesture &amp; writing aids<br><a href=""https://www.youtube.com/watch?v=H12_OEy139g&amp;t=585"">09:45</a> - Eraser tool (how to use, types, options, etc.)<br><a href=""https://www.youtube.com/watch?v=H12_OEy139g&amp;t=619"">10:19</a> - Highlighter tool<br><a href=""https://www.youtube.com/watch?v=H12_OEy139g&amp;t=631"">10:31</a> - Shapes tool<br><a href=""https://www.youtube.com/watch?v=H12_OEy139g&amp;t=650"">10:50</a> - Lasso tool<br><a href=""https://www.youtube.com/watch?v=H12_OEy139g&amp;t=687"">11:27</a> - Convert to text/math using Lasso<br><a href=""https://www.youtube.com/watch?v=H12_OEy139g&amp;t=712"">11:52</a> - Elements tool<br><a href=""https://www.youtube.com/watch?v=H12_OEy139g&amp;t=738"">12:18</a> - Photos tool<br><a href=""https://www.youtube.com/watch?v=H12_OEy139g&amp;t=764"">12:44</a> - Textbox tool<br><a href=""https://www.youtube.com/watch?v=H12_OEy139g&amp;t=773"">12:53</a> - How to install custom fonts into Goodnotes<br><a href=""https://www.youtube.com/watch?v=H12_OEy139g&amp;t=840"">14:00</a> - Zoom Window tool<br><a href=""https://www.youtube.com/watch?v=H12_OEy139g&amp;t=899"">14:59</a> - Ruler tool<br><a href=""https://www.youtube.com/watch?v=H12_OEy139g&amp;t=916"">15:16</a> - Laser Pointer tool<br><a href=""https://www.youtube.com/watch?v=H12_OEy139g&amp;t=937"">15:37</a> - Thumbnail view<br><a href=""https://www.youtube.com/watch?v=H12_OEy139g&amp;t=982"">16:22</a> - Search tool<br><a href=""https://www.youtube.com/watch?v=H12_OEy139g&amp;t=994"">16:34</a> - Other icons - Adding new page, bookmarking<br><a href=""https://www.youtube.com/watch?v=H12_OEy139g&amp;t=1029"">17:09</a> - Sharing/exporting options<br><a href=""https://www.youtube.com/watch?v=H12_OEy139g&amp;t=1064"">17:44</a> - &quot;Three dots&quot; menu options<br><a href=""https://www.youtube.com/watch?v=H12_OEy139g&amp;t=1094"">18:14</a> - Document Editing options (including Toolbar Customization)<br><a href=""https://www.youtube.com/watch?v=H12_OEy139g&amp;t=1160"">19:20</a> - Splitscreen in Goodnotes<br><a href=""https://www.youtube.com/watch?v=H12_OEy139g&amp;t=1171"">19:31</a> - Cloud &amp; backup<br><a href=""https://www.youtube.com/watch?v=H12_OEy139g&amp;t=1228"">20:28</a> - Other settings from the main library<br><a href=""https://www.youtube.com/watch?v=H12_OEy139g&amp;t=1255"">20:55</a> - Goodnotes pricing<br><br><br>*Also in the Goodnotes pricing section, I meant to say Apple, Android + Windows, not Apple, Microsoft + Windows 😂",2024-04-07T17:19:50Z,100,Positivo
H12_OEy139g,https://www.youtube.com/watch?v=H12_OEy139g,Thank you! I just started with GoodNotes this week and this is a huge help!,2024-11-30T04:38:30Z,1,Positivo
H12_OEy139g,https://www.youtube.com/watch?v=H12_OEy139g,How to change folder from your folder template/image not colour?,2024-11-29T07:51:03Z,0,Neutral
H12_OEy139g,https://www.youtube.com/watch?v=H12_OEy139g,"Have you ever experienced lagging when you&#39;re writing on goodnotes after an amount of days? After a week or a few days, the writing doesn&#39;t appear exactly the same time when i write. Any advice or ideas why this happens?",2024-11-27T16:41:07Z,0,Negativo
H12_OEy139g,https://www.youtube.com/watch?v=H12_OEy139g,this app is useless for androids user,2024-11-27T14:17:33Z,0,Negativo
H12_OEy139g,https://www.youtube.com/watch?v=H12_OEy139g,Very helpful video 👍🏼🙂,2024-11-25T20:53:31Z,0,Positivo
H12_OEy139g,https://www.youtube.com/watch?v=H12_OEy139g,Nice 👍,2024-11-24T00:04:43Z,0,Positivo
H12_OEy139g,https://www.youtube.com/watch?v=H12_OEy139g,can i use it in my asus device,2024-11-23T23:28:11Z,0,Neutral
H12_OEy139g,https://www.youtube.com/watch?v=H12_OEy139g,I hope that Goodnotes pays you for your work. I just ordered my first iPad Pro and will definitely use Goodnotes for my note keeping. Thanks for your tutorial 🙏,2024-11-23T19:24:44Z,0,Positivo
H12_OEy139g,https://www.youtube.com/watch?v=H12_OEy139g,"If i opted to pay for apple goodnotes 6 unlimited, would it be only for the 6th version? So if goodnight 7 will arrive in the future, should I pay again to upgrade to goodnotes 7?",2024-11-22T18:17:27Z,0,Negativo
