ID del Video,URL,Comentario,Fecha de Publicación,Likes del Comentario,Sentimiento
oTahLEX3NXo,https://www.youtube.com/watch?v=oTahLEX3NXo,16135 O&#39;Connell Loop,2024-10-06T21:25:41Z,0,Neutral
oTahLEX3NXo,https://www.youtube.com/watch?v=oTahLEX3NXo,"Notion lacks many things a writer like me is looking for like sharing a link to page to anyone not using Notion like Google Docs allows with different sharing options but not Notion. And I don&#39;t want to publish it on web, only share the link of the page or section from the notebook to few people. Also, I attached some images so don&#39;t know via any storage manager of how much space is being used till now. In short, started using last week and found too many shortcomings and I am trying to figure what makes Notion great so many limitations. And support is missing esp., the ones with the team making Notion.",2024-10-02T11:18:43Z,0,Positivo
oTahLEX3NXo,https://www.youtube.com/watch?v=oTahLEX3NXo,Sure its a calming Notion <br>Perpetual Motion<br>But i dont need the comfort<br>Of any L I E S,2024-09-27T00:10:01Z,0,Positivo
oTahLEX3NXo,https://www.youtube.com/watch?v=oTahLEX3NXo,How is Notion different than Google docs,2024-08-27T07:58:25Z,0,Neutral
oTahLEX3NXo,https://www.youtube.com/watch?v=oTahLEX3NXo,woah i love their voice,2024-07-25T18:53:24Z,0,Positivo
oTahLEX3NXo,https://www.youtube.com/watch?v=oTahLEX3NXo,Binance&#39;s CEO discusses future developments in an exclusive interview – don&#39;t miss it,2024-07-19T12:34:22Z,0,Negativo
oTahLEX3NXo,https://www.youtube.com/watch?v=oTahLEX3NXo,Binance&#39;s CEO bares all about future developments in an exclusive interview,2024-07-19T02:57:02Z,0,Positivo
oTahLEX3NXo,https://www.youtube.com/watch?v=oTahLEX3NXo,"Hey, your Sales Incentive payment is all sorted out and good to go!",2024-07-17T16:37:32Z,0,Positivo
oTahLEX3NXo,https://www.youtube.com/watch?v=oTahLEX3NXo,"Marked by optimism, may your smile never fade.",2024-07-12T15:05:50Z,0,Positivo
oTahLEX3NXo,https://www.youtube.com/watch?v=oTahLEX3NXo,"In light of a system error, we regret to inform you that the transaction has been sent to an invalid email address.",2024-07-12T12:12:10Z,0,Negativo
oTahLEX3NXo,https://www.youtube.com/watch?v=oTahLEX3NXo,Gonna try from today as saw lot of productive people using it regularly,2024-07-05T19:34:41Z,0,Neutral
