ID del Video,URL,Comentario,Fecha de Publicación,Likes del Comentario,Sentimiento
zqKqtB9DUGM,https://www.youtube.com/watch?v=zqKqtB9DUGM,I would really apprciate if someone could help please.<br>I have onenote for windows 10. What i have noticed is that as i move down the the page lines starts to shrink and the hand written fonts get smaller and smaller. How do i stop this and get consistency. Tnx,2024-11-30T18:37:26Z,0,Positivo
zqKqtB9DUGM,https://www.youtube.com/watch?v=zqKqtB9DUGM,Thank you so much for your information.. appreciate it🎉,2024-11-26T17:22:10Z,0,Positivo
zqKqtB9DUGM,https://www.youtube.com/watch?v=zqKqtB9DUGM,I have spent data trying to get my data recovered into one note. The syncing has been really terrible and at this point I am totally giving up with One note. I can&#39;t put up with this terrible sync via Microsoft. Do you have an alternative you can suggest please.,2024-11-24T20:39:44Z,0,Negativo
zqKqtB9DUGM,https://www.youtube.com/watch?v=zqKqtB9DUGM,Great video. Onenote is often overlooked by many. One Note and Apple Notes are often overlooked by many people looking for help.<br><br>I think the secret to success with note taking software is to dive in and use it. Keep at it for a few weeks.,2024-11-17T17:21:37Z,1,Positivo
zqKqtB9DUGM,https://www.youtube.com/watch?v=zqKqtB9DUGM,"I like OneNote a lot but I keep getting messages telling me that I have run out of storage space, and this is after I have paid for extra space and have a subscription. This is very annoying because this doesn’t happen with other note taking apps",2024-11-14T18:01:04Z,0,Negativo
zqKqtB9DUGM,https://www.youtube.com/watch?v=zqKqtB9DUGM,"what I find annoying is the switching back and forth between One Note interface and the host. It&#39;s a guide to use OneNote, so why not just sticking to its interface. So annoying",2024-11-13T01:16:43Z,1,Negativo
zqKqtB9DUGM,https://www.youtube.com/watch?v=zqKqtB9DUGM,I just bought a MacBook Pro.  I can&#39;t figure out how to print directly into OneNote.  Can anyone offer advice?,2024-11-11T20:30:26Z,0,Neutral
zqKqtB9DUGM,https://www.youtube.com/watch?v=zqKqtB9DUGM,"This was some really good information. I have a question though. At the <a href=""https://www.youtube.com/watch?v=zqKqtB9DUGM&amp;t=600"">10:00</a> mark you show meeting details being imported into a note page. Is there a way to lock down, or standardize where that container loads on the page? I&#39;ve creted a template with an Agenda section and a task section and no matter where I put these sections it seems like when I try to import the meeting details OneNote loads them right on top of my Agenda container. I even created a template that had a meeting detail container in it, thinking I&#39;d just have to delete that container and then insert the correct one, and it still put it over my other containers.",2024-10-28T21:40:17Z,0,Positivo
zqKqtB9DUGM,https://www.youtube.com/watch?v=zqKqtB9DUGM,so complicated omg. can i please just learn how to sync that dran thing and do we need to buy 365 or what? jesus,2024-10-26T21:29:42Z,0,Positivo
zqKqtB9DUGM,https://www.youtube.com/watch?v=zqKqtB9DUGM,Where do you get the book that you wrote on one note?,2024-10-21T21:55:35Z,0,Neutral
zqKqtB9DUGM,https://www.youtube.com/watch?v=zqKqtB9DUGM,Adorei esse vídeo!,2024-10-20T15:06:53Z,0,Neutral
zqKqtB9DUGM,https://www.youtube.com/watch?v=zqKqtB9DUGM,THANK YOU !<br>Super novice here taking my first steps into learning how to use computer for notes .<br>I have hand-written everything for years and now need to type it all out.,2024-10-09T18:13:43Z,1,Positivo
zqKqtB9DUGM,https://www.youtube.com/watch?v=zqKqtB9DUGM,Thanks!,2024-10-02T18:33:21Z,0,Positivo
