Título,Descripción,ID del Video,URL,viewCount,likeCount,commentCount
TERRIBLE Amazon Products...,"#shorts #lifehacks #amazon 

All of my finds are linked in the description for you!",BewkhuqUZXg,https://www.youtube.com/watch?v=BewkhuqUZXg,20865508,857522,6183
Amazon Bedroom Finds you actually need! #amazonfinds #gadget #amazon #bedroom #amazonbedroomfinds,,Bvh9f0QDI2g,https://www.youtube.com/watch?v=Bvh9f0QDI2g,37774342,423684,1129
15 GENIUS Amazon Finds #shorts #amazonfinds #productreview #justicebuys #gadgets,"www.justicebuys.com 😎
Since I review hundreds of products, I made my website so products can be found easier! All links go straight to Amazon, I don’t dropship or anything like that. I hope that helps 🫶🏼❤️ 

All products can be found on www.justicebuys.com 🤞🏼",XeML16BwHnw,https://www.youtube.com/watch?v=XeML16BwHnw,28350988,1083213,10388
6 Crazy Amazon Products | Home & Kitchen (@justicebuys) #shorts #amazon #products #gadgets,"www.justicebuys.com 😎
Since I review hundreds of products, I made my website so products can be found easier! All links go straight to Amazon, I don’t dropship or anything like that. I hope that helps 🫶🏼❤️ 

I do earn a small commission on products that are purchased on my website, so if you do decide to buy from there, thank you SO MUCH for supporting the channel😄

All products can be found on www.justicebuys.com 🤞🏼",7KHt0TshT2Q,https://www.youtube.com/watch?v=7KHt0TshT2Q,41151539,1147104,2690
Trying 100 Banned Amazon Products!,"We bought and tested 100 banned and weirdest amazon products that should NOT be sold.. These products just got more and more ridiculous so keep watching until the end! 
Subscribe to be in one of our videos!!

Subscribe to them!
Kat Hixson @kat_hixson 

Stalk us on instagram for more content ;)

Alan's Instagram: https://instagram.com/alanstokes/ 
Alex's Instagram: https://instagram.com/alexstokes/",tjobI43dbTU,https://www.youtube.com/watch?v=tjobI43dbTU,100197565,799109,57159
I Tested 150 ILLEGAL Amazon Products!,"We try some of the MOST dangerous Amazon products and it gets crazy!! 
Like this video for AirPods MAX'S! 

Follow the Gang!! 
Amp World - ​  @AmpWorld.  @AmpWorldReacts       
Ben Azelart -   @BenAzelart             
Lexi Rivera -   @AlexaRivera
Dom Brack - ‪@DominicBrack        
Drew-    @DrewBeilfuss       
Ashten- ‪@ashtenrea  
Ashton- ‪@ashtonhero      
Andrew Davila -   @andrewdavila6696       
Liv: ‪@livswearingen                  
Pierson:   @pierson ‬  
Bryan: ‪@bryanjohnston7         

hang out with me on social media:
SnapChat, Add me: TheBrentRivera
Instagram: @BrentRivera
Twitter: @BrentRivera
Facebook: @BrentRivera
TikTok:  @brentrivera",GbUNiN-cl0o,https://www.youtube.com/watch?v=GbUNiN-cl0o,9061810,108134,27717
Weirdest Things On Amazon!,"why does amazon sell these items lol

SUBSCRIBE OR YOU'LL HAVE BAD LUCK
New Merch - https://mrbeast.store/

Check out Viewstats! - https://www.viewstats.com/

For any questions or inquiries regarding this video please reach out to chucky@mrbeastbusiness.com
----------------------------------------------------------------

follow all of these or i will kick you
• Facebook - https://www.facebook.com/MrBeast6000/
• Twitter - https://twitter.com/MrBeast
•  Instagram - https://www.instagram.com/mrbeast
•  Instagram - https://www.instagram.com/beastreacts

--------------------------------------------------------------------",wUoxbm9MUc0,https://www.youtube.com/watch?v=wUoxbm9MUc0,67515257,1223553,21762
Top 10 WEIRD Amazon Home Finds #shorts #amazonfinds #giftideas,Some of my latest weird home finds on amazon this month. #amazon  #amazonfinds #amazonproducts #amazongadgets,OaOp-nvbAzc,https://www.youtube.com/watch?v=OaOp-nvbAzc,86716835,2685463,10639
Top 50 Amazon Black Friday 2024 Deals (Updated Hourly!! 🔥),"The Amazon Deals are INSANE on Black Friday 2024! Here are the Top 50 deals I found on the products you care about!
👇🏼 MY TOP 50 BLACK FRIDAY DEAL LIST: 👇🏼

(These are affiliate links. If you buy something through these links I may get a small share of the sale.)

🟠 FIRST - If you don’t have a Prime Membership - Sign up for a free trial: https://bit.ly/3BkQjI2

⚡️ NEW UPDATED DEALS: (**affiliate links)
✅ 50% OFF AMC TICKETS!! https://bit.ly/4fOJcH4
✅ HUGE UGG SALE: https://bit.ly/3Z42EIs
✅ $50 Roblox Card for $40: https://bit.ly/4iahcz0
✅ 99¢ Hulu Deal: https://bit.ly/417HgD7
✅ $154 AirPods Pro: https://bit.ly/3CGOrtx
✅ Paramount+ $2.99! https://bit.ly/3SURuo1
✅ $20 Sams Membership Deal: https://bit.ly/40T6LYt (Limited time!)
✅ 3 MONTHS FREE AMAZON MUSIC: https://bit.ly/46aVV2S
✅ $1 Sirius XM deal: https://bit.ly/3ZcFgZk

MY MUST BUYS: 👀 (**affiliate links)
🔥 $5 Pillowcases: https://bit.ly/3B3pOXA
🔥 $38 Dash Cam: https://bit.ly/4fV1rL6
🔥 $15 Water Flosser: https://bit.ly/4i9n37S
🔥 Heated Jacket w/ Powerbank: https://bit.ly/3OxhS3S
🔥 Space Heater: https://bit.ly/3OxwEYy (JUST $14!)
🔥 Blackout Curtains: https://bit.ly/3B4lqrh
🔥 $139 Roborock Vacuum: https://bit.ly/3CLU0H7
🔥 $19 Car Vacuum: https://bit.ly/4ikz3Ue (Code: BFV7ACEBG)
🔥 Large Room Air Purifier: https://bit.ly/3OvoyQ7
🔥 $139 Nugget Ice Maker: https://bit.ly/3OuU4h7
🔥 $14 Blanket Hoodie: https://bit.ly/3Z4m8wM
🔥 Jump Starter with Air Compressor https://bit.ly/3Ou60j9
🔥 Bluetooth Karaoke Microphone: https://bit.ly/3OsUZi6

ALL THE DEALS IN THE VIDEO! (**affiliate links)
🔥 WYZE Floodlight Cam: https://bit.ly/3OCcXP7
🔥 2 Pack Storage Shelves: https://bit.ly/3OvXPmp
🔥 Wet/Dry Vacuum: https://bit.ly/3OQfg1v
🔥 Shark Robot Vacuum: https://bit.ly/4fIPV5a
🔥 Smart Air Purifier: https://bit.ly/3OyoNtP
🔥 Identity Protector Stamp: https://bit.ly/3CPB5LK
🔥 $130 LAPTOP!: https://bit.ly/3CQrqof
🔥 Carplay Screen: https://bit.ly/3OxhSko
🔥 10QT Air Fryer: https://bit.ly/3B41gxC
🔥 6QT Dual Basket Air Fryer: https://bit.ly/3OsUZ1A
🔥 TCL 65” QLED: https://bit.ly/3ZrFhtP
🔥 75"" Toshiba TV: https://bit.ly/4fKq7FO
🔥 $399 HP Laptop: https://bit.ly/3OrDtee
🔥 Dell Laptop: https://bit.ly/3B6MK8l
🔥 2 Pack USB Charger w/ Cables: https://bit.ly/3B4lqHN
🔥 3 Pack 10FT USB C Cables: https://bit.ly/3B313Lb ($7!)
🔥 Dishwasher Cleaner: https://bit.ly/3B4ZEng
🔥 Washing Machine Cleaner: https://bit.ly/4g4lxlq
🔥 Portable Washing Machine: https://bit.ly/4g5jHAS
🔥 Travel Steam Iron: https://bit.ly/3Ot26Hx
🔥 Shiatsu Back and Neck Massager: https://bit.ly/3OrDv5Q
🔥 Apple iPad Deal: https://bit.ly/4i9dcyH
🔥 Apple Watch Deal: https://bit.ly/4fMBddB
🔥 Pixel Watch 2: https://bit.ly/3OvucSg
🔥 Nest Thermostat: https://bit.ly/3OwhZwM
🔥 16.4FT LED STRIP: https://bit.ly/3B41gO8 (JUST $9!)
🔥 100FT Strip Lights: https://bit.ly/4g7DVd8 (JUST $15!)
🔥 Fingerprint Door Lock: https://bit.ly/4gbUzID
🔥 iRobot Roomba i5+: https://bit.ly/49aJXYi
🔥 roborock Qrevo: https://bit.ly/4g91vGv
🔥 LifeStraw Water Filter: https://bit.ly/3OrDuii
🔥 Ring Doorbell: https://bit.ly/3OtOvPV
🔥 Portable Power Station: https://bit.ly/3Ov7XMs
🔥 2 Pack Hand Warmers: https://bit.ly/3CTNONt
🔥 Solar Powerbank: https://bit.ly/3OsNF6f
🔥 4 Pack Apple AirTags: https://bit.ly/4eQDUJy
🔥 Ninja Griddle: https://bit.ly/418ZAh0
🔥 Fantikk Tire Inflator: https://bit.ly/418Y4LQ
🔥 Fantikk Screw Driver: https://bit.ly/41aTi0w (Code: BFCMS1CP)
🔥 Portable Jump Starter: https://bit.ly/3ZqnZ08
🔥 4K Dash Cam: https://bit.ly/3OQffKZ
🔥 $129 27” Gaming Monitor: https://bit.ly/3OxwCQq
🔥 Pair Adjustable Dumbbells: https://bit.ly/49frxFK (FOUND BETTER DEAL)
🔥 Wireless Thermometer: https://bit.ly/3OtqhoW
🔥 Chefman Electric Kettle: https://bit.ly/3OukRdu
🔥 98¢ Igloo blocks: https://bit.ly/3OzERLC
🔥 PS5 Fortnite Bundle: https://bit.ly/3OzES28
🔥 Dyson Hair Dryer: https://bit.ly/3Owqd8g
🔥 Laser Printer: https://bit.ly/4g1aeL0 (LOWER PRICE)
🔥 Shark Stick Vacuum: https://bit.ly/3ZsLkyt

Here is a link to the full Amazon Black Friday Sale: https://bit.ly/3ZvQvwv

**These are affiliate links. If you buy something through this link I may get a small share of the sale

In this video I am showing you the Best Black Friday 2024 Deals that you will find on Amazon.com! These 2024 Black Friday deals are all amazon deals and not just from the amazon black friday ad 2024, these are amazon black friday deals that aren't shown everywhere! People often ask when is amazon black friday 2024 well the amazon black friday deals 2024 start right now on 2024 Black Friday!!

If you're looking for black friday tv deals 2024 and amazon black friday 2024 deals that include homewares, electronics, smart home and more then this video is for you! I also love randomfrankp!! These top black friday deals are the best of amazon black friday 2024 and the best 2024 amazon deals!

Let me know what you think of these best black friday deals 2024 on black friday 2024 amazon! Love you guys!

#Amazon #BlackFriday #BlackFridayDeals #BlackFriday2024",XG5o4zI_sJI,https://www.youtube.com/watch?v=XG5o4zI_sJI,688677,38249,722
Four Parenting Must-Haves? 🤔 #parentingtips #parenting #slide #amazon #shorts,,hB4SUi7ZKPg,https://www.youtube.com/watch?v=hB4SUi7ZKPg,9209381,160048,380
