Título,Descripción,ID del Video,URL,viewCount,likeCount,commentCount
Beginner's Guide to GOODNOTES 6 in 2024! 📝,"Are you getting started with Goodnotes 6? Learn how to navigate the app and use its tools to create digital notes! ☻ 

Timestamps/Chapters:

00:00 - Intro
00:21 - Creating an account
00:47 - Main library navigation
01:43 - What you can import
02:07 - How to create folders
02:20 - Turning on Scribble
02:41 - How to create a notebook, template/cover options
03:45 - Adding new pages
04:03 - Double-tap to fill screen
04:07 - Changing the template after notebook has been created
04:40 - Horizontal and vertical scrolling
04:54 - Stylus & palm rejection
05:18 - What's in the toolbar? (Read Only, Keyboard, Audio Recording)
07:03 - All the notetaking tools! (Pen, Highlighter, Eraser, etc.)
07:22 - Pen tool (how to use, types, presets, etc.)
09:04 - Pen gesture & writing aids
09:45 - Eraser tool (how to use, types, options, etc.)
10:19 - Highlighter tool
10:31 - Shapes tool
10:50 - Lasso tool
11:27 - Convert to text/math using Lasso
11:52 - Elements tool
12:18 - Photos tool
12:44 - Textbox tool
12:53 - How to install custom fonts into Goodnotes
14:00 - Zoom Window tool
14:59 - Ruler tool
15:16 - Laser Pointer tool
15:37 - Thumbnail view
16:22 - Search tool
16:34 - Other icons - Adding new page, bookmarking
17:09 - Sharing/exporting options
17:44 - ""Three dots"" menu options
18:14 - Document Editing options (including Toolbar Customization)
19:20 - Splitscreen in Goodnotes
19:31 - Cloud & backup
20:28 - Other settings from the main library
20:55 - Goodnotes pricing

________________________________________________________________________

✿ SHOP DIGITAL STATIONERY
https://www.goodmondays.ca
https://www.etsy.com/shop/goodmondayspaper

✿ STAY CONNECTED
https://www.instagram.com/goodmondayspaper
https://www.tiktok.com/@goodmondays 

________________________________________________________________________

✿ MUSIC CREDITS

Music by Drew Richmond - QT Coffee Run
https://thmatc.co/?l=E5702298

Music by Damien Sebe - fresh air 
https://thmatc.co/?l=9735C0D4

Music by Damien Sebe - living life
https://thmatc.co/?l=737ED7E6

________________________________________________________________________

Janice
Good Mondays Paper ☻

#goodnotes #ipad #goodnotes6",H12_OEy139g,https://www.youtube.com/watch?v=H12_OEy139g,682681,16889,314
Is GoodNotes 6 Worth it? - A Full Review,"Is GoodNotes 6 worth getting? A complete review and thoughts the updated iPad note taking app.
📝 Check out Paperlike here - https://paperlike.com/bytereview
🏙️ Wallpapers featured in this video - https://kirokustudio.co.uk/

Other iPad videos :

🤔 iPad Mini 6 - Still Worth it in 2023? - https://youtu.be/0BTxoi-3Nvc
📲 How I Stay Organised on iPad  - https://youtu.be/Pb1L2rsAH7E
🌇 iPad Air - A Day in the Life - https://youtu.be/uvVBJc5mgvE
📝 Best Note Taking Apps for iPad - https://youtu.be/eEPHcgPsuLQ
✏ Top 10 Very Useful Apple Pencil Tips & Tricks - https://youtu.be/HfaRbiHxzcs


⚡ Featured :

• iPad 10th Gen - https://geni.us/Fixbq
• iPad Mini - https://geni.us/6BgBPGL
• iPad Air - https://geni.us/Zuk10
• iPad Pro - https://geni.us/RiidAFJ
• Apple Pencil - https://geni.us/lACP5
• Magic Keyboard - https://geni.us/xUQek
• My Favourite iPad Stand - https://www.charjenpro.com/bytereview
• My Favourite iPad Screen Protector - https://paperlike.com/bytereview


📼 Timestamps :

• 0:00 - Things I Really Like!
• 3:45 - Things I Don't Like!
• 5:52 - Thanks Paperlike!
• 6:50 - Ehhh updates
• 8:16 - My Final Thoughts

-

• 📷 Camera Gear - https://kit.co/ByteReview/youtube-video-gear
• 🎵 Music used - https://www.epidemicsound.com/referral/knr9ry

• Links provided are affiliated & help support the channel •

#ipadpro #ipados17 #ipadair #notes #notetaking",SY_Cr8dUEKw,https://www.youtube.com/watch?v=SY_Cr8dUEKw,209324,2953,256
40+ Goodnotes Tips you NEED to know ✏️ iPad | Apple Pencil,"Hello and welcome! In this video I share my favorite tips, tricks and features for Goodnotes 5 app. I use Goodnotes app for digital planning & note taking on my iPad using the apple pencil. The digital planners don't come with the app but you can find them linked below along with my free Goodnotes planner. 

Give the video a thumbs up if you found it useful, subscribe + hit the bell to be notified when I post new videos✨


*Chapters*

0:20 Record audio
0:31 Favorite colors
0:40 Zoom
0:56 Full page typing
1:09 Handwriting to text
1:26 Scribble tips
1:35 Custom pen colors
1:48 Screenshot tip
1:57 Import fonts
2:16 Scroll direction 
2:26 Precision eraser
2:34 Shapes
2:55 Change color
3:08 Status bar
3:17 Quick duplicate
3:27 Lasso screenshot
3:48 Freehand crop
3:56 Elements
4:14 Bulk add images
4:34 Quick add page
4:39 Scanning
4:48 Highlighter tip
5:03 Custom note templates
5:17 Move pages
5:25 Split screen
5:46 Image cut out
5:54 Lasso tip
6:04 Web to Goodnotes
6:21 Sync across devices
6:33 Homescreen shortcut 
6:56 Drag & drop 
7:08 Hyperlinks tip
7:16 Quick close tabs 
7:24 Text box tip
7:32 Search
7:46 Image tip
7:54 Convert writing to text
8:05 Web links
8:14 Clear page
8:20 Keyboard shortcuts
8:29 Dark mode
8:36 Bookmarks
8:45 Quick note
8:55 Collaborate & comments


*What I use*

M2 iPad Pro 2022 + Apple Pencil 2

Digital planners:
https://www.happydownloads.net/product-category/digital-planner/

Digital stickers:
https://www.happydownloads.net/product-category/digital-planner-stickers/

Digital note paper:
https://www.happydownloads.net/product-category/digital-note-paper-templates/

Handwritten font:
https://www.happydownloads.net/product/neat-handwriting-font/

Homescreen theme:
https://www.happydownloads.net/product/cute-homescreen-theme/


*Freebies*

Download my free 2023 digital planner here:
https://www.happydownloads.net/free-digital-planner/

Get free digital stickers here:
https://www.happydownloads.net/freebies-vault/


*My setup*

Shop my iPad accessories and desk setup:
https://www.amazon.com/shop/happydownloads/


*Other videos you may like*

Goodnotes beginners tutorial: https://youtu.be/V6NoVNQIods
Goodnotes elements tips: https://youtu.be/0oT1NuUGuq8
How to plan on your iPad: https://youtu.be/t30cuWjsumQ
My 2023 planner setup: https://youtu.be/ZFfDBiTLbQQ
What's on my iPad Pro: https://youtu.be/6G1zSlNljME
Best iPad accessories: https://youtu.be/p3xyDMYJ8to
M2 iPad Pro 2022 unboxing + setup: https://youtu.be/7vO5DuiRpQs
iOS 16 new features: https://youtu.be/7HtLPpfikoo


*My other platforms*

♡ Instagram: https://www.instagram.com/happydownloads/
♡ TikTok: https://www.tiktok.com/@happydownloads
♡ Facebook group: https://www.facebook.com/groups/421279308506839/
♡ Pinterest: https://www.pinterest.co.uk/happydownloads/
♡ Website: https://www.happydownloads.net/
♡ Etsy shop: https://www.etsy.com/uk/shop/HappyDownloads


*Music credits*

Music by Naomi - Chroma - https://thmatc.co/?l=31BE6435
Music by Naomi - Clouds - https://thmatc.co/?l=13190F70

#goodnotes #goodnotes5 #goodnotesplanner",LPGVTCwmlgc,https://www.youtube.com/watch?v=LPGVTCwmlgc,1089029,35138,528
My 2025 Digital Planner Setup 💕| Plan With Me on iPad | Goodnotes 6 | Digital Planning,"Hello and welcome! Today I'm setting up my 2025 digital planner and doing some digital planning for the upcoming month and week using Goodnotes 6 on my iPad. I also create a vision board and do some goal setting. Hope you enjoy this plan with me! 

♡ Shop my planners: https://www.happydownloads.net/product-category/digital-planner/

Subscribe to my channel for more: https://www.youtube.com/channel/UCggKidH56IZIGQ8SppxYn-Q?sub_confirmation=1

*Chapters* 

0:00 - Intro
0:22 - Customizing my planner
2:00 - Importing into Goodnotes 6
2:20 - Custom backgrounds trick
3:03 - Monthly planning
5:51 - Master to do list
7:27 - Weekly planning
8:56 - Journaling
10:17 - Vision board
11:59 - Side tabs
12:22 - Planner cover
12:39 - Goal setting
14:19 - Overview

________________________________________

💗 *Shop digital stationery*

♡ Digital planners:
https://www.happydownloads.net/product-category/digital-planner/

♡ Academic & other lifestyle planners:
https://www.happydownloads.net/product-category/lifestyle-planners/

♡ Digital stickers:
https://www.happydownloads.net/product-category/digital-planner-stickers/

♡ Custom planner backgrounds pack:
https://www.happydownloads.net/product/custom-planner-backgrounds/

________________________________________

✏️ *What I use for digital planning*

♡ iOS
Goodnotes 6 app
M4 iPad Pro 2024: https://amzn.to/41i23G7
Apple Pencil Pro: https://amzn.to/3OEsNcd

♡ Android
Penly app
Samsung Galaxy Tab S9+: https://amzn.to/3OqRuZf
S pen: https://amzn.to/3rzdaLm

________________________________________

🌷 *My setup*

Shop my favorite iPad accessories & desk setup:
https://www.amazon.com/shop/happydownloads/

________________________________________

 🍓 *Freebies*

Free digital planner: https://www.happydownloads.net/free-digital-planner/
Free digital stickers: https://www.happydownloads.net/free-digital-planner-stickers/

________________________________________

🩷 *Other videos you might like*

Best digital planners for 2025: https://youtu.be/nS88AESVdS0
How to plan on your iPad or Samsung tablet: https://youtu.be/R4eOeWsgd8k
M4 iPad Pro 2024 unboxing & review: https://youtu.be/zclMBbunu3s
iPad Air 2024 unboxing & review: https://youtu.be/21SB-HacukQ
20 ways I use my iPad Pro: https://youtu.be/zjHsvP0N_qA
iPad hacks you need to know: https://youtu.be/DE810-I11f8
What's on my iPad Pro: https://youtu.be/6G1zSlNljME
Best iPad note taking apps: https://youtu.be/A8dxUpA_DvI

________________________________________

💕 *Stay connected*

♡ Instagram: https://www.instagram.com/happydownloads/
♡ TikTok: https://www.tiktok.com/@happydownloads
♡ Facebook community: https://www.facebook.com/groups/happydownloads/
♡ Website: https://www.happydownloads.net/
♡ Etsy shop: https://www.etsy.com/uk/shop/HappyDownloads

________________________________________

💌 *Message me*

contactus@happydownloads.net

________________________________________

As an amazon associate I earn from affiliate links however none of my video content is influenced by this and I only recommend items I like.

Music by Chilly Vic - tranquil vibes - https://thmatc.co/?l=0B315611
Music by Lohfi - street light - https://thmatc.co/?l=C46773FE

________________________________________

Rina ♡
HappyDownloads

#digitalplanner #ipad #digitalplanning #ipadplanner #ipadplanning #goodnotes #digitalplanwithme #planwithme",ni-qw_JETRI,https://www.youtube.com/watch?v=ni-qw_JETRI,2786,236,53
☁️✏️ Goodnotes 6 Beginners Guide & Full Walkthrough 2024 : Everything you NEED to know!,"Here is my updated beginners guide to Goodnotes 6 and all the new features that have recently been released. Enjoy! 

🎧 mentioned in video: 
• Goodnotes 6 Tutorials Playlist: https://www.youtube.com/playlist?list=PLkLKIJdqoBWE_IYLhUwM7o7mWPAmSaCWy 
• How to install Fonts on iPad: https://youtu.be/ShHhPdZ9Bcg
• Guide to using Scribble in Goodnotes: https://youtu.be/bq-CeXlzasE
• Guide to Using Elements in Goodnotes: https://youtu.be/arHvEWbxH8M
• Handwriting Font Pack:  https://creativemarket.com/saltandpepperdesigns/6890070-The-Handwriting-Font-Bundle

📱✨ socials 
• instagram: https://www.instagram.com/kaylaleroux02/
• tiktok: https://www.tiktok.com/@kaylaleroux02
• website: https://kaylasworld.wixsite.com/kayla-le-roux

business inquiries: inquiries@kaylaleroux.com

product links: 
• iPad Accessories: https://www.amazon.com/shop/kaylaleroux/list/2HP6HC4KLVR5V?ref_=cm_sw_r_cp_ud_aipsflist_aipsfkaylaleroux_WT9PAF619980HXQD3238
iPhone Accessories: https://www.amazon.com/shop/kaylaleroux/list/2OSQMGQN2S6YY?ref_=cm_sw_r_cp_ud_aipsflist_aipsfkaylaleroux_6ZN33M3G67Q9ZSAVSAFR
My Gear: 

👩🏻‍💻 details
• age:  22
• where from: South Africa
• editing software: final cut pro 
• fcp plugins: 
mKeynote: https://motionvfx.sjv.io/c/3560129/1393897/10011
mKBHD: https://motionvfx.sjv.io/c/3560129/1449594/10011
• computer: M1 Pro MacBook Pro
• camera: Canon 90D 
• lens: Sigma 30mm f1.4
• music: (30 day free trial) https://www.epidemicsound.com/referral/3s3qd5
• Music by oh, the joy. - 1pm in san francisco - https://thmatc.co/?l=E508860C

Thank you so much for all your support!

*Description may include affiliate links*",j7Rzx-_AzQY,https://www.youtube.com/watch?v=j7Rzx-_AzQY,141050,3358,118
Goodnotes 6 vs. Notability (Which is better after the 2023 updates?),"Earlier this year, I reviewed Notability & GoodNotes, and compared their features to tell you which one was better at that time. Both apps have since released major updates, so it's time to revisit this ongoing war.

➡️ Get Paperlike’s Folio Case: https://paper.me/foliocase
➡️ Grab your Screen Protector by Paperlike: https://paperlike.com/products/paperlike-for-ipad
➡️ Upgrade your Digital Experience with our Pro Bundle: https://paperlike.com/collections/ipad-accessories/products/pro-bundle

🤳 Follow us:
Instagram: https://www.instagram.com/paperlike/
TikTok: https://www.tiktok.com/@paperlikeofficial
Linkedin: https://www.linkedin.com/company/paperlike/

#ipad #study #notetaking 

Intro: 00:00
User Interface: 00:24
Document Management: 02:44
Taking Notes: 05:57
Extra Features: 10:11
Backup & Sharing: 12:02
Pricing & Updates: 13:51
Final Verdict: 15:45
Outro: 16:26",RdHDWXQBy2s,https://www.youtube.com/watch?v=RdHDWXQBy2s,230255,2487,270
The BEST Digital NoteTaking Experience on iPad - Goodnotes Updated the Fountain Pen!,"Two years ago I wrote a letter to Goodnotes articulating my concerns with their fountain pen and how it had changed from Goodnotes 4 to Goodnotes 6. Well, two years later Goodnotes did it - they brought back the original Goodnotes 4 writing experience!

Check-Out my Original Letter to Goodnotes (2022)
https://www.youtube.com/watch?v=LN9oKM52goI&t=398s

Feel free to Reach out via Instagram: https://www.instagram.com/samuelsuresh1999/

iPad related Videos:
https://www.youtube.com/watch?v=2olPpcmXLlk
https://www.youtube.com/watch?v=ZiJJZyNrsPI
https://www.youtube.com/watch?v=emdg4WjetQg
https://www.youtube.com/watch?v=n0ql-yeY9u0
https://www.youtube.com/watch?v=br0jghA4JEw

MB01Q0IJAN1ZH30",XPNp5lIHn_w,https://www.youtube.com/watch?v=XPNp5lIHn_w,97267,2578,143
GoodNotes 5 for beginners | 2023 iPad planner | 2023 iPad tips | best planner,,1XKK8jJ_BYY,https://www.youtube.com/watch?v=1XKK8jJ_BYY,111906,3116,21
"ABC Hybrid Service 12-1-24 // Take Good Notes // Rev. Earle J. Fisher, Ph.D.","LOG ON NOW!!! It’s the last first Sunday of the year (so it’s the final communion service of 2024).  Pastor Earle is kicking off the advent season with a new sermon series, “It Was Written.”  Don’t miss this Sunday’s sermon, “Take Good Notes” from Isaiah 9:6-7.

***We Do Not Claim Rights To Any Music***

WorshipCast #11303

#BlackFaithMatters #BlackPreachingMatters #MeetMeAtABCLive #INFORMATION #SundayService #HybridService #DrEarleFisher",Byv84oumfx0,https://www.youtube.com/watch?v=Byv84oumfx0,40,3,0
GoodNotes 5 Tutorial & Walkthrough | Beginners How To Use GoodNotes | iPad Notes & Digital Planning,"Welcome to my channel💖 Goodnotes is my favourite app on the iPad and now it's free! Here is a beginner friendly tutorial video showing you how to use goodnotes app + walkthrough of the different tools. I'm using my digital planner (details below) and if you're interested in digital planning check out my tutorial video + free planner download below✨ 

If you found this video useful give me a thumbs up and subscribe & hit the notification bell for more✨ 

I love comments! Drop me a comment to say hello💖

0:00 - Intro
0:55 - Creating a notebook
2:06 - Importing a PDF
2:31 - Scrolling through pages
2:42 - View mode vs Edit mode
3:24 - Zooming in and out
3:44 - Pen tool
6:06 - Eraser tool
6:37 - Undo and redo
6:53 - Clear page
7:04 - Highlighter tool
8:08 - Lasso tool
10:23 - Elements tool
11:29 - Image tool
13:40 - Text tool
15:14 - Zoom tool
16:17 - Adding pages
16:59 - Copy/paste a page
18:00 - Moving a page
18:12 - Deleting a page
18:32 - Shapes tool
19:09 - Exporting a file
20:03 - Bookmarks
20:36 - Creating a folder
21:04 - More GoodNotes tips and hacks

+ + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + 

WHAT I'M USING

Digital planner: https://www.happydownloads.net/product/digital-planner-rainbow/

Happydownloads font: https://www.happydownloads.net/product/neat-handwriting-font/

iPad homescreen theme set: https://www.happydownloads.net/product/cute-homescreen-theme/

iPad Pro + Apple pencil

+ + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + 

MY DIGITAL PLANNER SHOP

⭐PLANNERS: https://www.happydownloads.net/product-category/digital-planner/

⭐STICKERS: https://www.happydownloads.net/product-category/digital-planner-stickers/

My digital planner bundles come with 1000 stickers, multiple daily and weekly layouts, lots of useful templates for productivity, goals, wellness, nutrition, fitness and finances, as well as a 30 day refund. Compatible with Goodnotes, Penly, OneNote, Notability, Xodo, Noteshelf and other PDF annotation apps.

⭐ For Android users we recommend Penly app: https://play.google.com/store/apps/details?id=com.penly.penly

+ + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + 

FREE DIGITAL PLANNER 2022

Download my free 2022 digital planner here:
https://www.happydownloads.net/free-digital-planner/

+ + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + 

FREEBIES VAULT

Get lots of free digital stickers when you sign up to our newsletter:
https://www.happydownloads.net/freebies-vault/

+ + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + 

MY DESK SETUP

iPad accessories and desk setup:
https://www.amazon.com/shop/happydownloads/

+ + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + 

OTHER VIDEOS YOU MIGHT LIKE

Best Goodnotes Hacks & Hidden features: https://youtu.be/RwMNJAeiC1g
Goodnotes Elements Best Tips & Tricks: https://youtu.be/0oT1NuUGuq8
Best Goodnotes digital planners: https://youtu.be/6j1doTfy7EE
How to get Started with Digital Planning: https://youtu.be/n48IQRZBCcA
April 2022 Plan with me using Goodnotes: https://youtu.be/VYjll3F-ak4
My 2022 Goals Plan with me using Goodnotes: https://youtu.be/PUOnPgNhqLU
How to write neatly in Goodnotes: https://youtu.be/Nn9bepgPpCg
How to Customize your iPad homescreen: https://youtu.be/D_lEzyW56mA
How to make digital stickers on iPad: https://youtu.be/aycL-_6jQVA

+ + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + 

MY OTHER PLATFORMS

►Instagram: https://www.instagram.com/happydownloads/
►TikTok: https://www.tiktok.com/@happydownloads
►Facebook group: https://www.facebook.com/groups/421279308506839/
►Pinterest: https://www.pinterest.co.uk/happydownloads/
►Website: https://www.happydownloads.net/
►Etsy shop: https://www.etsy.com/uk/shop/HappyDownloads

+ + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + 
#goodnotes #goodnotestutorial #goodnotes5",V6NoVNQIods,https://www.youtube.com/watch?v=V6NoVNQIods,713318,18587,715
