id_video,fecha_recuperacion,nombre_usuario,url_perfil,comentario,fecha_publicacion,num_likes
7120309898235170053,2024-12-02 19:33:37.082227,Henry Graterol,https://www.tiktok.com/@henrygraterol,ue una muy buen app. ahora no sirve. confíe tanto en esta app que la vengo usando desde que salió y hablo de más de 6 años. tenía todo guardado allí. después de la última actualización perdí todo,7-2,5
7120309898235170053,2024-12-02 19:33:37.091123,Eduardo Muñoz,https://www.tiktok.com/@edumunozc,Súper.,2022-7-15,0
7120309898235170053,2024-12-02 19:33:37.100220,Luz Riquelme,https://www.tiktok.com/@luzestefaniariquelme, 💚,2022-7-14,1
7120309898235170053,2024-12-02 19:33:37.110202,Ali,https://www.tiktok.com/@alisssagui,Es gratis?,2023-8-5,0
7115122198423113006,2024-12-02 19:34:02.151938,Jessica Johnson,https://www.tiktok.com/@countrylovingchristian,Evernote is no longer supported. What do you use now? Were you able to transfer notes? Export doesn't seem available anymore!,2023-6-4,0
7115122198423113006,2024-12-02 19:34:02.162937,val,https://www.tiktok.com/@valxbear,Omg I’m saving this for law school 😭❤️,2022-6-30,4
7115122198423113006,2024-12-02 19:34:02.172619,Arden,https://www.tiktok.com/@ardenstrider,This is unrelated but if you have a secured transactions flow chart can you release it ? Im dying rn lol,2022-7-5,1
7115122198423113006,2024-12-02 19:34:02.181621,Katie C,https://www.tiktok.com/@insightsgal,This is AMAZING,2022-8-9,1
7115122198423113006,2024-12-02 19:34:02.190253,Gabrielle Stephanie,https://www.tiktok.com/@gabriellestephani4,Love Evernote!!,2022-7-3,1
7115122198423113006,2024-12-02 19:34:02.199334,_5_iulie_,https://www.tiktok.com/@5iulieee2,how can I add new pages into one note?,2023-3-16,0
7115122198423113006,2024-12-02 19:34:02.208584,Tone,https://www.tiktok.com/@thehyphyfj,First video that popped up for Evernote and you are saving my life during undergrad! 😎,2022-7-10,0
7115122198423113006,2024-12-02 19:34:02.217721,Evernote,https://www.tiktok.com/@evernote,"We are so glad to have been along for your epic ride from Andy the student to Andy, Esq...! 😍",2022-7-1,4
7255684024553704710,2024-12-02 19:34:40.524782,10pointforgryffindor,https://www.tiktok.com/@10pointforgryffindor,Tôi dùng note trên save mess trên tele 😳,2023-7-14,1
7328535026151214341,2024-12-02 19:35:10.286103,wafflexdz,https://www.tiktok.com/@wafflexdz,Yo utilizaba One Note hasta que conocí Obsidian,1-28,46
7328535026151214341,2024-12-02 19:35:10.294616,José Jorge,https://www.tiktok.com/@georgelbs,Yo utilizaba One Note hasta que conocí Notion,1-26,840
7328535026151214341,2024-12-02 19:35:10.306616,Basti 🧢,https://www.tiktok.com/@bastian_rva,Qué diferencia tiene escribir los apuntes en word y onenote?,1-26,23
7328535026151214341,2024-12-02 19:35:10.316378,josefinahdez,https://www.tiktok.com/@josefinahdez,"Holaa, como es una hoja enorme como haces para imprimirlo? Una vez use onenote y se me desconfiguraba cuando queria imprimir :(",1-26,141
7328535026151214341,2024-12-02 19:35:10.325663,whosjavi♡ ﾟ ✧° ﾟ º❍｡☆,https://www.tiktok.com/@ariesdivinefemenine69,"ayyyy podrías hacer como un tour por tu planificación, para inspirarme en ver como te organizas, eso de tus cuadrados como con asignaturas, notas, check list, vi un poco del general, pero vi que",3-25,11
7328535026151214341,2024-12-02 19:35:10.334663,Pthan22,https://www.tiktok.com/@p.than22,sería genial un vídeo de organización en OneNote 😭💜,1-27,63
7328535026151214341,2024-12-02 19:35:10.343182,Knelaa,https://www.tiktok.com/@_knelaa,Se puede grabar mientras se toma apuntes,5-9,0
7328535026151214341,2024-12-02 19:35:10.352180,marmar,https://www.tiktok.com/@bia.hip,"cual es mejor? Notion, Obsidian, OneNote, Kilonotes?",4-28,0
7328535026151214341,2024-12-02 19:35:10.367181,Michelle araya,https://www.tiktok.com/@michellearayat,yo digo q des más tips sobre los mac para estudiar 🥹,2-27,0
7328535026151214341,2024-12-02 19:35:10.376182,Bárbara Rocío,https://www.tiktok.com/@barbi.bbqq,Hola Cata🌸 por fis más videos sobre cómo poner linda la mac y los usos de one note! Una seca✨,1-28,0
7328535026151214341,2024-12-02 19:35:10.386352,I'm MarⓂ,https://www.tiktok.com/@mar.guz_07,olapp... cómo hiciste el calendario en one note?,3-28,0
7328535026151214341,2024-12-02 19:35:10.394352,camilabarch,https://www.tiktok.com/@camilabarch,"cuál es tu carrera, linda?",3-6,0
7328535026151214341,2024-12-02 19:35:10.403352,catacoyh,https://www.tiktok.com/@catacoyh,"holaa, cómo hiciste para poner un calendario en one note?? por favor ;))",3-10,0
7328535026151214341,2024-12-02 19:35:10.412668,GooMur,https://www.tiktok.com/@goo_mur,y gráficas???,3-4,1
7328535026151214341,2024-12-02 19:35:10.422667,aevelyntatiana1@gmail.com,https://www.tiktok.com/@evelyntatianaagua,Comó se llama la app🥰,5-5,0
7328535026151214341,2024-12-02 19:35:10.432349,Martin🫧,https://www.tiktok.com/@martinnnossess_,recomiendas un ipad o un macbook???,4-4,2
7328535026151214341,2024-12-02 19:35:10.441522,harith mb,https://www.tiktok.com/@harithmb,no entendí lo que dijo u.u,3-7,2
7328535026151214341,2024-12-02 19:35:10.450523,Camipaz9885,https://www.tiktok.com/@camipaz9885,"me dio tanta paz ver tus apuntes, están hermosos 😍",3-17,0
7328535026151214341,2024-12-02 19:35:10.460523,Marcelo Navarrete,https://www.tiktok.com/@marsetso,un video para crear los planners xfa 🥺,3-5,0
7328535026151214341,2024-12-02 19:35:10.469521,Nicole Montecinos,https://www.tiktok.com/@niicole.mns,"Podrías hacer un video de como crear todo desde cero porfiii, recién entre a la u este año y me va a hacer la vida mucho mas fácil🙏🏻🙏🏻",3-5,26
7328535026151214341,2024-12-02 19:35:38.324786,Joshua Villar,https://www.tiktok.com/@villar_hdtpm,Alguien sabe si se pueden agregar participantes para que más de una persona pueda ir modificando la información desde dispositivos personales diferentes ?,Hace 5 día(s),0
7328535026151214341,2024-12-02 19:35:38.333808,Francisco A Risso A,https://www.tiktok.com/@franciscoarissoa,"Woooo soy chileno, pero habla muy rapido",8-17,0
7328535026151214341,2024-12-02 19:35:38.344532,Santi,https://www.tiktok.com/@santi_ovi,q estudia?,1-28,2
7328535026151214341,2024-12-02 19:35:38.353531,Liss,https://www.tiktok.com/@lissy1973,"como lo haces para agregar otra página, pero que le siga ?",8-25,0
7328535026151214341,2024-12-02 19:35:38.368728,⛓cony⛓,https://www.tiktok.com/@constanzaafh,Muchas por este video cariño ✨,3-6,0
7328535026151214341,2024-12-02 19:35:38.377894,— A💫,https://www.tiktok.com/@aaalyne_,llegué 4 años tarde a este video,4-17,0
7328535026151214341,2024-12-02 19:35:38.385978,Michi,https://www.tiktok.com/@axxoooooo,Al inicio creí que estaba hablando otro idioma jeje,5-26,0
7328535026151214341,2024-12-02 19:35:38.395138,Mihi’ua 🪬🐋,https://www.tiktok.com/@mihiua._,Ya no partí así 😫,4-9,0
7328535026151214341,2024-12-02 19:35:38.404627,mango,https://www.tiktok.com/@mango.manguito4,Se puede en el iPad?,3-1,1
7328535026151214341,2024-12-02 19:35:38.413553,Stephanie,https://www.tiktok.com/@stephaniealzatega,Has más videos sobre one note y organización!,2-1,8
7328535026151214341,2024-12-02 19:35:38.423554,Agata,https://www.tiktok.com/@agataoh,se me des organizaban solo los apuntes en esta app 🥺 Hasta que me cambié a notion✨💖,9-4,0
7328535026151214341,2024-12-02 19:35:38.432692,Just_another_weeb,https://www.tiktok.com/@crazy_weeb__,Voy a quinto semestre me faltan 5 mas así que aún puedo recopilar info ✨👏🏻,3-16,0
7328535026151214341,2024-12-02 19:35:38.443383,Diosa de Plutón,https://www.tiktok.com/@diosa.de.pluton,Estrellitas para no olvidar estos tips ✨,5-9,2
7328535026151214341,2024-12-02 19:35:38.452661,german.nash,https://www.tiktok.com/@germanonash,Pero ya salí de la U 🥺,3-2,5
7328535026151214341,2024-12-02 19:35:38.461957,Normand_mx,https://www.tiktok.com/@normand_mx,"Disculpa como configuras al tamaño, de una hoja normal, como observo tus apuntes terminan en un límite y me interesaría aprender, ya que yo los hago y luego los imprimo, por favor🙏🏻",3-5,1
7328535026151214341,2024-12-02 19:35:38.472447,ann,https://www.tiktok.com/@sol.leyton,Tengo el mismo método tuyo!! Uno se organiza de mejor manera ❤️✨,3-17,0
7328535026151214341,2024-12-02 19:35:38.482449,memo.iba2historico,https://www.tiktok.com/@memo.iba2historic,buenas tardes preciosa dónde estudias y que carrera,2-8,0
7328535026151214341,2024-12-02 19:35:38.490474,🦉🦋🦟🦠🥀🍂,https://www.tiktok.com/@ave.viajera1,"te admiro, amo la gente aplicada, organizada y disciplinada✨💋",3-1,0
7328535026151214341,2024-12-02 19:35:38.499471,いちご 🌺🍓,https://www.tiktok.com/@javiiiuuu...03,¿Puedes hacer un vídeo de la planificación mensual? lo necesito 🥺,1-26,0
7328535026151214341,2024-12-02 19:35:38.509205,Bel Herrera,https://www.tiktok.com/@bellherrera7,hola hay uno desde cero?,3-12,0
7328535026151214341,2024-12-02 19:35:38.520358,kar,https://www.tiktok.com/@meduosita,hola ¿funciona así para Android? ¿o esto sirve sólo si se tiene plan de Microsoft?,1-28,0
7328535026151214341,2024-12-02 19:35:38.530643,Stefany Corzo | Marketera,https://www.tiktok.com/@sbcr1,"Muy tarde, ya acabe la carrera 🤣",3-3,0
7328535026151214341,2024-12-02 19:35:38.539116,carlosimarch,https://www.tiktok.com/@carlosimarch,Y nosotros: 😳😳😳,1-26,0
7328535026151214341,2024-12-02 19:35:38.547493,Black Cat,https://www.tiktok.com/@witch.cat.black,Yo usando canva y Mega,2-5,0
7328535026151214341,2024-12-02 19:35:38.557493,feña valdes  |  🍒ugc,https://www.tiktok.com/@fvaldesbrito,no me pudo gustar :( pero te quedó preciosooooo,1-27,0
7328535026151214341,2024-12-02 19:35:38.566128,ale_cd3,https://www.tiktok.com/@ale_cd3,Sabía que era del tipo estudiosa... Nerd jejeje 😅 mentira te amo Cata 😘,1-26,1
7328535026151214341,2024-12-02 19:35:38.575347,c_arcecervantes,https://www.tiktok.com/@c_arcecervantes,"Mientras todos conversan antes de la clase, ella prepara sus apuntes. Y además tiene tiempo para hacer estos vídeos. Una maravilla.",3-17,1
7328535026151214341,2024-12-02 19:35:38.584345,Ro Garcia,https://www.tiktok.com/@roci.garciaperez,Me pasa que siento que le faltan más opciones para hermosear,1-28,3
7328535026151214341,2024-12-02 19:35:38.592967,Estefylozano03,https://www.tiktok.com/@estefylozano03,Hola cata porfa has el otro video explicando cómo hacer tu planner porfis 🥹🥹❤️,3-4,4
7328535026151214341,2024-12-02 19:35:38.601967,Book.Trinity,https://www.tiktok.com/@trinity.2529,yo viendo sus notas 😲,3-16,0
7328535026151214341,2024-12-02 19:35:38.610967,Majo🌻,https://www.tiktok.com/@majo_220604,Necesito un video de como hacer el calendario,1-27,0
7328535026151214341,2024-12-02 19:35:38.618968,AntoVM,https://www.tiktok.com/@vantonoemi,Necesitaba esto el año pasado 😍,1-26,0
7328535026151214341,2024-12-02 19:35:38.630652,Cletuspower,https://www.tiktok.com/@cletuspower,"La verdad uno pierde mucho tiempo en eso, por estar de ordenado y llenado todo con colores no me quedaba nada y perdía los exámenes",4-7,0
7328535026151214341,2024-12-02 19:35:38.639807,anto sky,https://www.tiktok.com/@anto.sky_,que lindos apuntes☺️💗,1-26,2
7328535026151214341,2024-12-02 19:35:38.648805,thomas,https://www.tiktok.com/@thomas754,hola me encantan tus videos de la historia girega,1-26,1
7328535026151214341,2024-12-02 19:35:38.659806,ꉂ denisse 𔘓 ִ ۫  ּ,https://www.tiktok.com/@_denisseiou,ojalá ser así pero soy muy desordenada 😔,1-26,2
