id_video,fecha_recuperacion,nombre_usuario,url_perfil,comentario,fecha_publicacion,num_likes
7443136178037050646,2024-12-02 20:22:24.961828,LaVidaConLuca&Yuffie,https://www.tiktok.com/@lavidaconluca,Where did you get the skin for your Apple Pencil? 💘,Hace 1 día(s),2
7443136178037050646,2024-12-02 20:22:24.971828,蛇,https://www.tiktok.com/@_.hebi_,my notes don’t look like that💔,Hace 5 h,9
7443136178037050646,2024-12-02 20:22:24.981831,deez.pops_,https://www.tiktok.com/@deez.pops_,How do uou get those templates? Mine dont have all that,Hace 2 día(s),11
7443136178037050646,2024-12-02 20:22:24.992787,from my boy💗,https://www.tiktok.com/@..bannqoukka,what is the name of the application?,Hace 13 h,0
7443136178037050646,2024-12-02 20:22:25.003784,Digital Planner | Productivity,https://www.tiktok.com/@digital.planner.p,That is really cool 🥰,Hace 1 día(s),2
7443136178037050646,2024-12-02 20:22:25.013787,Artur Biernat|Content Creator,https://www.tiktok.com/@art.biernat,so cute and so aesthetic 🥰,Hace 2 día(s),1
7443136178037050646,2024-12-02 20:22:25.023789,𝓃𝒶𝒷𝒾𝒾𝑒✨,https://www.tiktok.com/@chemkenn,What ipad is that???,Hace 22 h,1
7443136178037050646,2024-12-02 20:22:25.032789,🇹🇷🏴ﷺ,https://www.tiktok.com/@ibrahimrssel,how do you make this beautiful font?,Hace 1 día(s),2
7443136178037050646,2024-12-02 20:22:25.041785,def.not.m3lis@,https://www.tiktok.com/@_melisat0y,I love the sound it makes when u move the apple pen so satisfying,Hace 12 h,0
7443136178037050646,2024-12-02 20:22:25.051279,@clara_.999.,https://www.tiktok.com/@clara...999,"I'm from Portugal, can I also buy through your website? 🥹",Hace 1 día(s),0
7443136178037050646,2024-12-02 20:22:25.061377,M'',https://www.tiktok.com/@malak.ahmedhelal,🥰,Hace 1 día(s),1
7443136178037050646,2024-12-02 20:22:25.070378,𝐌‘🇸🇳,https://www.tiktok.com/@m223_s,ses moi ou a chaque fois il prenne une photo du coeur ou des partie du coeur mes JAMAIS autre chose 💀,Hace 9 h,0
