id_video,fecha_recuperacion,fecha_publicacion,reproducciones,nombre_usuario,titulo,etiquetas,url_video,url_perfil
7443136178037050646,2024-12-02 13:14:13.312732,Hace 2 día(s),87.3K,madetoplan,Come take notes with me on pink mode templates ✏️😍📓💞✨✍🏻🥰 ,#digitalplanning #digitalnotes #digitalnotetaking #ipadtips #scribble #applepenciltips #goodnotes #notetaking #digitalplanner #ipadnotes #ipadnotetaking #studynotes #studynotetaking #studynotesideas #goodnotes5 #goodnotes6 #anatomynotes #ipados17 ,https://www.tiktok.com/@madetoplan/video/7443136178037050646,https://www.tiktok.com/@madetoplan
7314358971488374048,2024-12-02 13:14:13.326704,2023-12-19,2M,metodica.oficial,"IG @metodica.oficial · Saca el máximo partido a tu iPad con GoodNotes ✍️ 📱 Arrancamos nueva serie de contenidos de GoodNotes para principiantes. Esta vez, actualizamos los contenidos para la nueva actualización de GoodNotes6, incluyendo las nuevas funcionalidades y teniendo en cuenta los pequeños cambios en la interfaz respeto la versión anterior. Hoy te doy ese primero contacto con GoodNotes, para qué sepas de qué trata; pero en la siguiente parte empezamos ya a trastear un poco más dentro de la app. ¿Conocías GoodNotes ¿Te gustaría aprender más? Sígueme para no perderte ninguna parte! ✨ ",#goodnotes #goodnotes6 #apuntesdigitales #planificacion #agendadigital #agenda #agenda2024 #ipad #goodnotesparaprincipiantes #applepencil #notasdigitales #libretadigital #studygram #studytok ,https://www.tiktok.com/@metodica.oficial/video/7314358971488374048,https://www.tiktok.com/@metodica.oficial
7443101186451852599,2024-12-02 13:14:13.338150,Hace 2 día(s),1081,milliondollarhabit,Handwriting to font in GoodNotes 📝 ,#ipad #digitalplanner #notes ,https://www.tiktok.com/@milliondollarhabit/video/7443101186451852599,https://www.tiktok.com/@milliondollarhabit
7284690998985362693,2024-12-02 13:14:13.349135,2023-9-30,4.4M,studygramore,"Esta app es un si o si, para los apuntes digitales el link se los dejo en mi perfil ✨ ",#goodnotes6 #appparaestudiantes #apuntesdigitales #studytips #reimaginelearning ,https://www.tiktok.com/@studygramore/video/7284690998985362693,https://www.tiktok.com/@studygramore
7443852204915608875,2024-12-02 13:14:13.360134,Hace 2 h,740,chaffanienaycole,Planning the month of December on my iPad ♥️🎄✨☁️ ,#ipad #goodnotesplanner #planner #digitalplanner ,https://www.tiktok.com/@chaffanienaycole/video/7443852204915608875,https://www.tiktok.com/@chaffanienaycole
7443520594546543928,2024-12-02 13:14:13.370729,Hace 1 día(s),1793,balancedplan,How to download your 2025 digital planning onto Goodnotes📝✨ ,#ipad #digitalplanner #organization #productivity #goodnotes #notability ,https://www.tiktok.com/@balancedplan/video/7443520594546543928,https://www.tiktok.com/@balancedplan
7371985148318977286,2024-12-02 13:14:13.381718,5-22,16.3K,moonbeampapeleria,💞 Hoy te traigo esta Mini Guía sobre como dar tus primeros pasos en GOODNOTES y conocer algunas de las herramientas sin 💀 en el intento. Comenta 💌 si te gustaría ver más tutoriales detallados sobre Goodnotes y apuntes digitales 📖🙂‍↕️ ,#goodnotes #apuntesdigitales #apuntesbonitos #studytips #notetaking ,https://www.tiktok.com/@moonbeampapeleria/video/7371985148318977286,https://www.tiktok.com/@moonbeampapeleria
7343078023824018693,2024-12-02 13:14:13.392718,3-5,18.3K,daygz8,Replying to ,@Anajency M. #fy #fyp #goodnotes #notes #notes #school #student #universidad #goodnotes6 #apuntesbonitos ,https://www.tiktok.com/@daygz8/video/7343078023824018693,https://www.tiktok.com/@daygz8
7374604200984038661,2024-12-02 13:14:13.405719,5-29,30.7K,digitalbymiranda_,Las novedades de la polémica Goodnotes 6 🫢  ,@Goodnotes App #goodnotes #ipad #tablet #apuntes #apple #apuntesdigitales #aesthetic #fyp #tech #goodnotes6 #notetaking #universidad #apuntesbonitos #apunteschidos ,https://www.tiktok.com/@digitalbymiranda_/video/7374604200984038661,https://www.tiktok.com/@digitalbymiranda_
7418686671341899013,2024-12-02 13:14:13.419380,9-25,58.7K,gutspapeleria,"4 nuevas actualizaciones de goodnotes 6 🤓 1. Nuevo lápiz que imita el lápiz mina, perfecto para dibujar ✏️ 2. Notas adhesivas: podemos ajustar colores y tamaños, además de agregar comentarios ocultos 😮 3. Ajuste de texto escrito a mano, esta opción me encantó, porque ahora podemos ajustar todo lo escrito a mano como si fuera una caja de texto 🤯 4. Bloquea tus bloc de notas con la nueva herramientas de bloqueo con contraseña 🔐 Cuál es tú favorita? 🫰🏻 ",#ipad #goodnotesapp #goodnotes #ipadpro #applepencil #papeleriadigital #ipadplanner #ipadnotes #apuntesbonitos #apuntesdigitales ,https://www.tiktok.com/@gutspapeleria/video/7418686671341899013,https://www.tiktok.com/@gutspapeleria
