id_video,fecha_recuperacion,fecha_publicacion,reproducciones,nombre_usuario,titulo,etiquetas,url_video,url_perfil
7403984179597151493,2024-12-02 12:47:38.934294,8-17,41.3K,thebugdev,Replying to ,@Francisco Peraza #obsidian #notesapp #zettelkasten #notetaking #escritura #escritosytextos #fyp ,https://www.tiktok.com/@thebugdev/video/7403984179597151493,https://www.tiktok.com/@thebugdev
7407930608619474208,2024-12-02 12:47:38.948597,8-27,28.6K,alexcraviotto,"volvemos a la productividad, obsidian o notion ",#coding #developer ,https://www.tiktok.com/@alexcraviotto/video/7407930608619474208,https://www.tiktok.com/@alexcraviotto
7395810131729992966,2024-12-02 12:47:38.960416,7-25,37.7K,thedragonsaga,Replying to ,@✨diie °^°~ #obsidian #writing #books #author #booktok #selfpublishing #selfpublishingjourney #selfpublishedauthor #writingtips #writingcommunity #writingabook #writingtok ,https://www.tiktok.com/@thedragonsaga/video/7395810131729992966,https://www.tiktok.com/@thedragonsaga
7298351204738845985,2024-12-02 12:47:38.972414,2023-11-6,41.9K,tu.daily.notion,Usas Notion o usas Obsidian? ,#Notion #NotionEnEspañol #Obsidian #Habitos #Organizacion #PlantillaNotion ,https://www.tiktok.com/@tu.daily.notion/video/7298351204738845985,https://www.tiktok.com/@tu.daily.notion
7157306156396956974,2024-12-02 12:47:38.983414,2022-10-22,798.8K,thepaintedsquid,Obsidian is the best note taking tool I have used for DnD and other TTRPGs! ,#dnd #dndtiktok #dnd5e #dungeonsanddragons #dungeonmaster #ttrpg #ttrpgtok #obsidian #notes #notetaking #gamemaster ,https://www.tiktok.com/@thepaintedsquid/video/7157306156396956974,https://www.tiktok.com/@thepaintedsquid
7409806957252676869,2024-12-02 12:47:38.994414,9-1,4749,eldermael,Etiquetas Para Varios Temas en Obsidian Tengo mis notas por etiquetas en lugar de jerarquias  #zettelkasten #notetaking #desarrollador #programacion #mentoria #knowledgemanagement #manejodeconocimiento #programacion #mentorado #obsidian #markdown #estudio #generarcontenido,NaN,https://www.tiktok.com/@eldermael/video/7409806957252676869,https://www.tiktok.com/@eldermael
7146248995168374022,2024-12-02 12:47:39.005413,2022-9-22,28K,fridaruh,Les cuento cómo utilizar ,#Obsidian #Secondbrain #Zettelkasten #HowTo #fyp ,https://www.tiktok.com/@fridaruh/video/7146248995168374022,https://www.tiktok.com/@fridaruh
7423956444023721221,2024-12-02 12:47:39.015425,10-9,2559,jhazmin.nj,Reaccionando a Obsidian 💁🏻‍♀️ ,#obsidian #tomadenotas #organizacion #apuntesdigitales ,https://www.tiktok.com/@jhazmin.nj/video/7423956444023721221,https://www.tiktok.com/@jhazmin.nj
7098102518726561029,2024-12-02 12:47:39.027122,2022-5-15,138.1K,juliox.dev, Obisidian.md ,@kleber.digital #markdown #programacionweb #desarrolloweb #productividad ,https://www.tiktok.com/@juliox.dev/video/7098102518726561029,https://www.tiktok.com/@juliox.dev
7363367607405153568,2024-12-02 12:47:39.038104,4-29,4.8M,aylas_bookishblogs,Jesus christ bro ,#writing #writingabook #obsidian #obsidiannotes #notes #author #plothole ,https://www.tiktok.com/@aylas_bookishblogs/video/7363367607405153568,https://www.tiktok.com/@aylas_bookishblogs
7180344077181783302,2024-12-02 12:47:39.052118,2022-12-23,27.7K,theplotdoctor,Obsidian. ,#dndtok #ttrpg #ttrpgtiktok #dnd #dnd5e #monsterhearts2 ,https://www.tiktok.com/@theplotdoctor/video/7180344077181783302,https://www.tiktok.com/@theplotdoctor
7439489617272917303,2024-12-02 12:47:39.063875,11-20,627,malu.nube,"Se me paso decir que esta disponible en ios, android y windows ✨️ ",#secondbrain #segundocerebro #obsidian #obsidianapp #studytok #estudio #organization #organización ,https://www.tiktok.com/@malu.nube/video/7439489617272917303,https://www.tiktok.com/@malu.nube
7342702303222254854,2024-12-02 12:47:39.075876,3-4,1958,updateme_news,Modo productividad 😎 ,#productividad #organizacion #notion #obsidian #logseq #notas #cerebrodigital #appdeproductividad #calendario ,https://www.tiktok.com/@updateme_news/video/7342702303222254854,https://www.tiktok.com/@updateme_news
7157676956673281326,2024-12-02 12:47:39.087875,2022-10-23,35K,thepaintedsquid,Replying to ,@epicwinstyle #obsidian #notetaking #dnd #ttrpg #dungeonsanddragons ,https://www.tiktok.com/@thepaintedsquid/video/7157676956673281326,https://www.tiktok.com/@thepaintedsquid
7431301342871784709,2024-12-02 12:47:39.099821,10-29,34.8K,amarciribeiro, ,#tecnologia #obsidian #produtividade #estudar #study ,https://www.tiktok.com/@amarciribeiro/video/7431301342871784709,https://www.tiktok.com/@amarciribeiro
7348199082923527457,2024-12-02 12:47:39.111822,3-19,16.3K,simplywannabe,Replying to ,@casulal_m #obsidian #obsidiannotes #dnd #dndtiktok #notetaking #obsidianapp #dndnotes #dndnotetaker #dndnotetaking ,https://www.tiktok.com/@simplywannabe/video/7348199082923527457,https://www.tiktok.com/@simplywannabe
7044995742615948549,2024-12-02 12:47:39.123651,2021-12-23,51.6K,bryandigital.io,Reply to ,@72wishes #obsidian #obsidianmd #knowledgemanagement #notesapp #zettelkasten #web3 ,https://www.tiktok.com/@bryandigital.io/video/7044995742615948549,https://www.tiktok.com/@bryandigital.io
7253109299801492762,2024-12-02 12:47:39.136653,2023-7-7,882.9K,e.r.98,Risposta a ,@fasteboi #obsidian #worldbuilding #ttrpgtok #writingprompts #writingtips #writingtools #notesapp ,https://www.tiktok.com/@e.r.98/video/7253109299801492762,https://www.tiktok.com/@e.r.98
7268686523824934177,2024-12-02 12:47:39.158651,2023-8-18,34.4K,duck_lawd,Replying to ,@authoroffantasy28 #obsidian #writingtok #booktok #obsidiannotes ,https://www.tiktok.com/@duck_lawd/video/7268686523824934177,https://www.tiktok.com/@duck_lawd
7369021157250518278,2024-12-02 12:47:39.170651,5-14,8318,jessikarochas, ,#ProdutividadeDigital #SegundoCerebro #ProductivityTips #Productivity #Obsidian #Notion #Bitwarden #Readwise #concepts #ConceptsApp @concepts.app #Nebo @Nebo App ,https://www.tiktok.com/@jessikarochas/video/7369021157250518278,https://www.tiktok.com/@jessikarochas
7415202326320860449,2024-12-02 12:47:39.183663,9-16,3680,dealasra,Replying to ,@Katie & Ollie #obsidian #writingabook #turorial #authorsoftiktok ,https://www.tiktok.com/@dealasra/video/7415202326320860449,https://www.tiktok.com/@dealasra
7270132973628919041,2024-12-02 12:47:39.195651,2023-8-22,13.9K,_bethany.russell_,Literally obsessed ,#writertok #fantasynovel #aspiringauthor #obsidian ,https://www.tiktok.com/@_bethany.russell_/video/7270132973628919041,https://www.tiktok.com/@_bethany.russell_
7281303122603986181,2024-12-02 12:47:39.206652,2023-9-21,6396,systemsculpt,Obsidian App Zettelkasten Timelapse ,#obsidian #zettelkasten #notetaking ,https://www.tiktok.com/@systemsculpt/video/7281303122603986181,https://www.tiktok.com/@systemsculpt
7272388609792052486,2024-12-02 12:47:39.218652,2023-8-28,516,theproductivityshow,"OBSIDIAN: ONE KEY FEATURE - Brooks shares that Obsidian is like the Houdini of note apps - your notes aren’t trapped in a magic box, they’re in plain text! So if Obsidian ever pulled a vanishing act, no worries - your notes are still chilling in text, ready to party anywhere. - Go to theproductivityshow.com to find all full length episodes. - ",#productivity #efficiency #lifehack #productivitytip ,https://www.tiktok.com/@theproductivityshow/video/7272388609792052486,https://www.tiktok.com/@theproductivityshow
7344919483837861126,2024-12-02 12:47:39.231651,3-10,1028,sreiscarol_,"I spent a lot of time trying to find the “perfect” app to organize all papers I’m reading for my masters research and, after anlot of search and frustration trying to use different apps, I finally settled down with Obsidian.  At the moment, I’m still using Mendeley as a large paper library (so most of PDFs are stored there). But in the future I’ll probably save all PDFs inside Obsidian.  You have all your files saved offline and you can also sync them on a cloud storage.  ",#study #studying #estudo #studywithme #obsidian #notion #msc #research ,https://www.tiktok.com/@sreiscarol_/video/7344919483837861126,https://www.tiktok.com/@sreiscarol_
