id_video,fecha_recuperacion,fecha_publicacion,reproducciones,nombre_usuario,titulo,etiquetas,url_video,url_perfil
7255729784439770374,2024-12-02 17:34:01.677915,2023-7-14,813.1K,soundspaceacademy,La historia de SoundCloud es un caso increíble de la industria musical en la era del internet 😮‍💨✨ Una plataforma querida por los amantes de la música que nos ha hecho descubrir a varios de nuestros artistas favoritos 🧡 ,#sabiasque #soundcloud #musicaelectronica ,https://www.tiktok.com/@soundspaceacademy/video/7255729784439770374,https://www.tiktok.com/@soundspaceacademy
7366696882631888136,2024-12-02 17:34:01.689379,5-8,923.7K,joseayalarazo,SoundCloud.,#gym #motivacion #souncloud #soledad ,https://www.tiktok.com/@joseayalarazo/video/7366696882631888136,https://www.tiktok.com/@joseayalarazo
7324484630999043333,2024-12-02 17:34:01.700099,1-15,47.5K,cristianpoow,Una red social que está por dar saltos no tan buenos ..  cómo utilizar SoundCoud - tutorial de soundcloud - ,#soundcloud #produccionmusical #marketingmusical ,https://www.tiktok.com/@cristianpoow/video/7324484630999043333,https://www.tiktok.com/@cristianpoow
7360847416133733637,2024-12-02 17:34:01.710095,4-22,2.3M,javyamericadiegoo,🤕… ,#real #gym #gymrats🐀💪 #boy #soundcloud #viraltiktok ,https://www.tiktok.com/@javyamericadiegoo/video/7360847416133733637,https://www.tiktok.com/@javyamericadiegoo
7284041733342563590,2024-12-02 17:34:01.723436,2023-9-28,42.7K,aishajonesb,Si quieren más remixes perrones díganme🫶🏼 ,#musica #indoorcycling #indoorcyclingcoach #indoorcyclinginstructor #playlist #mexico ,https://www.tiktok.com/@aishajonesb/video/7284041733342563590,https://www.tiktok.com/@aishajonesb
7381970440786332934,2024-12-02 17:34:01.734554,6-18,43.8K,muxika_,Respuesta a ,@DJ S H A P E S ,https://www.tiktok.com/@muxika_/video/7381970440786332934,https://www.tiktok.com/@muxika_
7373409463732014341,2024-12-02 17:34:01.745538,5-26,1.7M,alex_ahernandez,Real 😞  ,#soundcloud #gym #gymtok #gymtok #gymmotivation #motivation #playlist #soundclud #soundclud #gymrat #gymbro #bodybuilding #motivation #motivation #motivation #motivation ,https://www.tiktok.com/@alex_ahernandez/video/7373409463732014341,https://www.tiktok.com/@alex_ahernandez
7391935033579146502,2024-12-02 17:34:01.756537,7-17,9231,arte.pedraza,¿Cómo puedes acercarte a los curadores musicales de ,@soundcloud ,https://www.tiktok.com/@arte.pedraza/video/7391935033579146502,https://www.tiktok.com/@arte.pedraza
7441647821037538615,2024-12-02 17:34:01.767628,Hace 6 día(s),22.7K,carlostachadj,Ya fueron a escuchar mi nuevo set? Solo AF!! IG/Soundcloud: carlostachadj ,#fiesta #guaracha #soundcloud #dj ,https://www.tiktok.com/@carlostachadj/video/7441647821037538615,https://www.tiktok.com/@carlostachadj
7386732570458852613,2024-12-02 17:34:01.779740,7-1,34.2K,mariamunozzn, ,#musica #recommendations #fyp #spotify #soundcloud #applemusic #parati #viral #coachmariaa #videoviral ,https://www.tiktok.com/@mariamunozzn/video/7386732570458852613,https://www.tiktok.com/@mariamunozzn
7351435980391369990,2024-12-02 17:34:01.791739,3-28,16.6K,rogergarciadj,Joyas de soundcloud pt. 1 ,#housemusic #remix #dj #techhouse ,https://www.tiktok.com/@rogergarciadj/video/7351435980391369990,https://www.tiktok.com/@rogergarciadj
7374626767257996549,2024-12-02 17:34:01.802740,5-29,23.2K,alexgootz,SoundCloud a la venta y su legado en la música ,#soundcloud #musica #artistasdetiktok #artistasemergentes #parati #fyp ,https://www.tiktok.com/@alexgootz/video/7374626767257996549,https://www.tiktok.com/@alexgootz
7442012204834016545,2024-12-02 17:34:01.830481,Hace 5 día(s),823.4K,jesuispuki,NaN,NaN,https://www.tiktok.com/@jesuispuki/video/7442012204834016545,https://www.tiktok.com/@jesuispuki
7420679425626213638,2024-12-02 17:34:01.842479,9-30,6427,dj_csr,Replying to ,@st82ve @Johnnie DJ @DJ Jose Fuentes ,https://www.tiktok.com/@dj_csr/video/7420679425626213638,https://www.tiktok.com/@dj_csr
7389359869096299782,2024-12-02 17:34:01.852808,7-8,9558,blackdroppermusic,Like si como DJ te ha pasado jajaja ,#dj #djfail #djfun ,https://www.tiktok.com/@blackdroppermusic/video/7389359869096299782,https://www.tiktok.com/@blackdroppermusic
7440530033375972663,2024-12-02 17:34:01.862795,11-23,1520,ekliips3,Soundcloud ,#fyp #musica ,https://www.tiktok.com/@ekliips3/video/7440530033375972663,https://www.tiktok.com/@ekliips3
7372019199201348869,2024-12-02 17:34:01.873797,5-22,3358,trueelifee369,La Plataforma Ideal para Subir y Compartir tus Tracks: SoundCloud Pro ,#almyghty #ciervo ,https://www.tiktok.com/@trueelifee369/video/7372019199201348869,https://www.tiktok.com/@trueelifee369
7321147914946989318,2024-12-02 17:34:01.885796,1-6,1M,padie_gym,Facts.    ,#protein #gymmotivation #foryoupage #parati #gymshark #foryou #gym #gymtok @YOUNGLA @Gymshark @Dragon Pharma Labs ,https://www.tiktok.com/@padie_gym/video/7321147914946989318,https://www.tiktok.com/@padie_gym
