id_video,fecha_recuperacion,fecha_publicacion,reproducciones,nombre_usuario,titulo,etiquetas,url_video,url_perfil
7441985376757042488,2024-12-02 17:16:01.169026,Hace 5 día(s),3.5M,spotifymexico,Atentx que ya está por llegar tu resumen del año 👀 ,#Wrapped2024 ,https://www.tiktok.com/@spotifymexico/video/7441985376757042488,https://www.tiktok.com/@spotifymexico
7323320713501248774,2024-12-02 17:16:01.180025,1-12,25.3M,spotifymexico,Así se hace una Playlist para el Futuro!  Haz la tuya en la app de Spotify 🔮 ,#PLAYLISTPARAELFUTURO #spotifymexico #spotifylatam #playlist #futuro ,https://www.tiktok.com/@spotifymexico/video/7323320713501248774,https://www.tiktok.com/@spotifymexico
7403508713421638917,2024-12-02 17:16:01.191543,8-15,274.4K,deiv_rivera,Ahí les van 3 trucos de Spotify para las parejotas 😁.  Y para los seguidores solteros... guarden el video para el futuro 😁. ,#trucosspotify #spotifytips #appsparejas #appsparaparejas #deivtips ,https://www.tiktok.com/@deiv_rivera/video/7403508713421638917,https://www.tiktok.com/@deiv_rivera
7429045185205554438,2024-12-02 17:16:01.202546,10-23,22.8K,nayesongs,Ve tus videos musicales favoritos en Spotify ,#misgustosmusicales #spotify #actualizacion #videomusical #enotravida #premium #amoreterno #natanaelcano #appsdemusica @Spotify México ,https://www.tiktok.com/@nayesongs/video/7429045185205554438,https://www.tiktok.com/@nayesongs
7441960550751407392,2024-12-02 17:16:01.213957,Hace 5 día(s),4.7M,spotifyuk,Are you ,#SpotifyWrapped ,https://www.tiktok.com/@spotifyuk/video/7441960550751407392,https://www.tiktok.com/@spotifyuk
7406078655497112865,2024-12-02 17:16:01.224944,8-22,7.6M,saca.technology,"La gente que tiene iPhone y usa Spotify, ¿me puede explicar por qué lo hacen? ",#iPhone #Apple #AppleMusic #Spotify ,https://www.tiktok.com/@saca.technology/video/7406078655497112865,https://www.tiktok.com/@saca.technology
7442048697409490232,2024-12-02 17:16:01.234945,Hace 5 día(s),2.3M,enfasiscomunica,"🎶 ¡Ya está aquí el Spotify Wrapped 2024!  🎧 Descubre tus artistas, canciones y géneros más escuchados del año. ¿Cuántas horas pasaste escuchando música?  🕒 ¡Es momento de compartirlo y ver qué tan bien conoces tu música! ¿Qué te sorprendió de tu Wrapped? 🤔👇 ",#SpotifyWrapped #Música2024 #TopArtistas #resumenmusical ,https://www.tiktok.com/@enfasiscomunica/video/7442048697409490232,https://www.tiktok.com/@enfasiscomunica
7031274535404080389,2024-12-02 17:16:01.246284,2021-11-16,110K,codigoespagueti,¿Tú también tuviste problemas con Spotify? ,#spotify #tecnologia #streaming #noticias ,https://www.tiktok.com/@codigoespagueti/video/7031274535404080389,https://www.tiktok.com/@codigoespagueti
7424854118885362949,2024-12-02 17:16:01.258283,10-12,1.6M,testing_viruses_vm,Respuesta a ,@domenico.506 #VM #test #nomedejenenflop #fyp #fyyyyyyyp #humor #Testing ,https://www.tiktok.com/@testing_viruses_vm/video/7424854118885362949,https://www.tiktok.com/@testing_viruses_vm
7409832564208307462,2024-12-02 17:16:01.272051,9-1,15.3K,ivanosio,"SPOTIFY: CREA LISTAS DE MÚSICA CON TUS FAVORITAS!! ¿Siempre escuchas la misma música? Con esta función de Spotify la app podrá crear tu propia playlist de forma automática, basándose en tus artistas favoritos. @spotifycolombia ",#Spotify #TechTips #Música ,https://www.tiktok.com/@ivanosio/video/7409832564208307462,https://www.tiktok.com/@ivanosio
7165319854440942854,2024-12-02 17:16:01.283039,2022-11-12,1.2M,maomitra,Spotify HQ 🤯😱 ,#aprendeentiktok #spotify #maomitra ,https://www.tiktok.com/@maomitra/video/7165319854440942854,https://www.tiktok.com/@maomitra
7321047310861978886,2024-12-02 17:16:01.294618,1-6,2.9M,ruidotornasol,La función que debes DESACTIVAR YA si usas SPOTIFY 🎚🎧 ,#spotify #music #normalizacion #recomendacionesspotify #melomano #hifiaudio ,https://www.tiktok.com/@ruidotornasol/video/7321047310861978886,https://www.tiktok.com/@ruidotornasol
7392843968150637829,2024-12-02 17:16:01.306611,7-17,135K,pantalleros,NADIE sabía lo del teléfono 🤯 Una solución fácil para los que tengan problema con su app de Spotify o que su tv no permita instalarla ✅ ,#secretostv #Spotifytv #spotifytverror #spotifysmarttv #pantalleros ,https://www.tiktok.com/@pantalleros/video/7392843968150637829,https://www.tiktok.com/@pantalleros
7269214098234150150,2024-12-02 17:16:01.320608,2023-8-19,1.8M,marketingconmelissa,Estrategia de Spotify🎶🎤 ,#musica #estrategia #marketing #digital #spotify #canciones ,https://www.tiktok.com/@marketingconmelissa/video/7269214098234150150,https://www.tiktok.com/@marketingconmelissa
7423501172507462945,2024-12-02 17:16:01.331611,10-8,819.7K,baijavier,Hack para SPOTIFY PREMIUM ✅ ATENCIÓN! Si eres ESTUDIANTE: CONSIGUE un DESCUENTO del  -50% en SPOTIFY PREMIUM🔻 Tan sólo debes tener Email para ESTUDIANTE acabado en .EDU  Y Matriculado en un CENTRO  para EDUCACIÓN SUPERIOR.  ,#aprendecontiktok #parati #viral ,https://www.tiktok.com/@baijavier/video/7423501172507462945,https://www.tiktok.com/@baijavier
7401524334012992786,2024-12-02 17:16:01.346409,8-10,1.1M,_aespawinterrr_,Evil Spotify… 😨 | The sound is creepy… ,#evil #spotify #spotify #app #virus #spyware #malware #spy #virusapp #music #taylorswift #dangerous #meme #fyp #roblox #obby #story #robloxgamer #foryou #foryourpage #foryoupageofficiall #official #viralvideo #trending #foryourpagetiktok ,https://www.tiktok.com/@_aespawinterrr_/video/7401524334012992786,https://www.tiktok.com/@_aespawinterrr_
7442459345700408631,2024-12-02 17:16:01.362287,Hace 4 día(s),703.4K,eduardo_barcenass, ,#fyppppppppppppppppppppppp #viral #fyp #jajaja #mexico #xd #spotifywrapped #spotify ,https://www.tiktok.com/@eduardo_barcenass/video/7442459345700408631,https://www.tiktok.com/@eduardo_barcenass
7418723311070317830,2024-12-02 17:16:01.374282,9-25,1.5M,sebasmariscal,Replying to ,@🫧 #SpotifyRoom ,https://www.tiktok.com/@sebasmariscal/video/7418723311070317830,https://www.tiktok.com/@sebasmariscal
7330080296743734534,2024-12-02 17:16:01.386273,1-30,30.4K,alvaro_armenta,Respuesta a ,@amo la comida y ella #spotifyforpodcasters #spotify ,https://www.tiktok.com/@alvaro_armenta/video/7330080296743734534,https://www.tiktok.com/@alvaro_armenta
7418277805370232065,2024-12-02 17:16:01.398937,9-24,1.1M,pacocomprobado, ,#pacoweb #vamosatestearlo #spotifybedroom ,https://www.tiktok.com/@pacocomprobado/video/7418277805370232065,https://www.tiktok.com/@pacocomprobado
7429457697747012897,2024-12-02 17:16:01.411865,10-24,32.6K,ruapk_8659, ,#spotify #musica #spotifypremium #apk #gratis ,https://www.tiktok.com/@ruapk_8659/video/7429457697747012897,https://www.tiktok.com/@ruapk_8659
